"-- Please Select --","--الرجاء الاختيار-"
"Add New Class","إضافة شريحة جديدة"
"Add New Tax Rate","إضافة معدل ضريبة جديد"
"Add New Tax Rule","إضافة قاعدة ضريبية جديدة"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Back","رجوع"
"CSV","CSV ملف"
"Code","رمز"
"Country","الدولة"
"Custom price if available","الأسعار المخصصة إذا كان متوفراً"
"Customer Tax Class","شريحة العميل الضريبية"
"Customer Tax Classes","شرائح العميل الضريبية"
"Default Country","البلد الافتراضي"
"Delete Rate","حذف معدل"
"Delete Rule","حذف قاعدة"
"Display Shipping Amount","عرض أسعار الشحن"
"Display Shipping Prices","عرض أسعار الشحن"
"Edit Rule","تعديل قاعدة"
"Edit Tax Rate","تعديل معدل الضريبة"
"Excl. Tax","غير شامل الضريبة"
"Export Tax Rates","تصدير معدلات الضريبة"
"Grand Total (Excl. Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Excl.Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Incl. Tax)","المجموع الكلي (شامل الضريبة)"
"Grand Total (Incl.Tax)","المجموع الكلي (شامل الضريبة)"
"Grand Total Excl. Tax","المجموع الكلي غير شامل الضريبة"
"Grand Total Incl. Tax","المجموع الكلي شامل الضريبة"
"Import Tax Rates","استيراد معدلات الضريبة"
"Inc. Tax","شامل الضريبة"
"Incl. Tax","شامل الضريبة"
"Invalid file upload attempt","محاولة رفع ملف غير صحيحة"
"Manage Tax Rates","إدارة معدلات الضريبة"
"Manage Tax Rules","إدارة قواعد الضريبة"
"Name","اسم"
"New Rule","قاعدة جديدة"
"New Tax Rate","معدل ضريبة جديد"
"No","لا"
"None","لا شئ"
"Original price only","السعر الأصلي فقط"
"Priority","أولوية"
"Product Tax Class","شريحة المنتج الضريبية"
"Range From","الحدود من"
"Range To","الحدود إلى"
"Rate","تقييم"
"Reset","اعادة ضبط"
"Row Total","مجموع الصف"
"Sales","المبيعات"
"Save Rate","حفظ معدل"
"Save Rule","احفظ القاعدة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Shipping & Handling (Excl.Tax)","الشحن و التوصيل (غير شامل الضريبة)"
"Shipping & Handling (Incl.Tax)","الشحن و التوصيل (شامل الضريبة)"
"Shipping (Excl. Tax)","الشحن غير شامل الضريبة (%1)"
"Shipping (Incl. Tax)","الشحن شامل الضريبة (%1)"
"Shipping Prices","أسعار الشحن"
"Sort Order","الترتيب"
"State","ولاية"
"State/Region","ولاية/منطقة"
"Subtotal (Excl. Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Excl.Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Incl. Tax)","الإجمالي (شامل الضريبة)"
"Subtotal (Incl.Tax)","الإجمالي (شامل الضريبة)"
"Tax","الضريبة"
"Tax Identifier","معرف الضريبة"
"Tax Rate","معدل الضريبة"
"Tax Rate Information","معلومات معدل الضريبة"
"Tax Rule Information","معلومات معدل الضريبة"
"Tax Rules","قواعد الضريبة"
"Tax Titles","عناوين الضرائب"
"The tax rate has been imported.","تم استيراد معدل الضريبة."
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"Total","إجمالي"
"Unit Price","سعر الوحدة"
"Yes","نعم"
"Zip/Post Code","الرمز البريدي"
"Zip/Post is Range","الرمز البريدي"
