"Actions","اعمال"
"Active","فعال"
"Add New Rule","إضافة قاعدة جديدة"
"Apply","تطبيق"
"Apply Rules","طبق القواعد"
"Attribute Set","مجموعة السمة"
"Catalog","دليل المنتجات"
"Catalog Price Rule","قاعدة الاسعار فى دليل المنتجات"
"Catalog Price Rules","قواعد الاسعار فى دليل المنتجات"
"Category","القسم"
"Conditions","الحالات"
"Conditions Combination","الجمع بين الشروط"
"Customer Groups","مجموعات العملاء"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Description","الوصف"
"Discount Amount","تخفيض الكمية"
"Edit Rule","تعديل قاعدة"
"Expiration Date","تاريخ انتهاء الصلاحية"
"General Information","معلومات عامة"
"ID","التعريف"
"Inactive","خاملة"
"New Rule","قاعدة جديدة"
"No","لا"
"Options","الخيارات"
"Priority","أولوية"
"Product Attribute","سمة المنتج"
"Promotions","الترقيات"
"Rule Information","بيانات القاعدة"
"Rule Name","أسم القاعدة"
"Save and Apply","احفظ و طبق"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Start Date","تاريخ البدء"
"Status","الحاله"
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"Type","النوع"
"Website","الموقع"
"Websites","الموقع"
"Yes","نعم"
