"Action","إجراء"
"Delete","احذف"
"Description","الوصف"
"Disable","إبطال"
"Enable","تفعيل"
"General","عام"
"Index Management","إدارة الفهرس"
"Never","مطلقاً"
"No","لا"
"Processing","المعالجة"
"Ready","جاهز"
"Refresh","التحديث"
"Status","الحاله"
"System","النظام"
"Update on Save","التحديث عند الحفظ"
"Updated At","تحديث في"
"Yes","نعم"
