"Action","إجراء"
"Are you sure you want to delete the selected backup(s)?","هل أنت متأكد من أنك تريد حذف النسخة أو النسخ الاحتياطية المحددة؟"
"Backups","الاحتياطات"
"Create Backup","انشئ نسخة احتياطية"
"Database","قاعدة البيانات"
"Database Backup","النسخ الاحتياطي لقاعدة البيانات"
"Database and Media","قاعدة البيانات و الوسائط"
"Database and Media Backup","النسخ الاحتياطي لقاعدة البيانات و الوسائط"
"Download","تحميل"
"Enable Scheduled Backup","تمكين النسخ الاحتياطي المجدول"
"Frequency","التردد"
"Maintenance Mode","وضع الصيانة"
"Name","اسم"
"Rollback","العودة إلى الحالة السابقة"
"Start Time","زمن البداية"
"System","النظام"
"System (excluding Media)","النظام (باستثناء الوسائط)"
"System Backup","نظام النسخ الاحتياطي"
"Time","الزمن"
"Type","النوع"
