"Base URL","قاعدة الموقع"
"Configuration","الضبط"
"Confirm Password","تأكيد كلمة المرور"
"Continue","استمر"
"Database","قاعدة البيانات"
"Download","تحميل"
"Email","البريد الإلكتروني"
"Email Address","البريد الإلكتروني"
"Enable Charts","تمكين المخططات"
"Encryption Key","مفتاح التشفير"
"File System","نظام الملفات"
"First Name","الإسم الأول"
"Host","المضيف"
"Last Name","اسم العائلة"
"Locale","محلي"
"Magento","ماجينتو"
"Password","كلمة المرور"
"Password Confirmation","تأكيد كلمة المرور"
"Personal Information","المعلومات الشخصية"
"Report All Bugs","أبلغ عن كل الثغرات"
"Required Fields","حقول مطلوبة"
"Secure Base URL","موقع قاعدة مامونه"
"User Name","اسم المستخدم"
"User Password","كلمة المرور"
"Username","اسم المستخدم"
