"Active","فعال"
"Add New Attribute","اضافة سمة جديدة"
"Are you sure?","هل أنت متأكد؟"
"Attribute","الخاصية"
"Attribute Set","مجموعة السمة"
"Attributes","الصفات"
"Catalog","دليل المنتجات"
"Confirm","تأكيد"
"Delete","احذف"
"Items","عناصر"
"No","لا"
"Product Name","اسم المنتج"
"Remove","ازالة"
"Synchronize","المزامنة"
"Yes","نعم"
