"Actions","Azioni"
"Are you sure?","Sei sicuro?"
"Date Added","Data Inserimento"
"Last Update","Ultimo aggiornamento"
"Mark as Read","Segna come già letto"
"Mark as read","Marca come già letto"
"Message","Messaggio"
"Messages Inbox","Messaggi in arrivo"
"Notifications","Notifiche"
"Please select messages.","Si prega di selezionare i messaggi."
"Read Details","Maggiori dettagli"
"Remove","Elimina"
"Severity","Gravità"
"Show List","Mostra lista"
"Show Toolbar","Mostra Toolbar"
"The message has been removed.","Il messaggio è stato eliminato."
"Update Frequency","Frequenza di aggiornamento"
"Use HTTPS to Get Feed","Utilizza HTTPS per ottenere i Feed"
"Wrong message type","TIpo messaggio errato"
"critical","critico"
"major","maggiore"
"minor","minore"
"notice","nota"
