"All Websites","Tutti i Website"
"Display Prices In Emails","Visualizza Prezzi nelle Email"
"Display Prices In Product Lists","Visualizza prezzi In elenchi di prodotti"
"Display Prices In Sales Modules","Visualizza Prezzi nei Moduli di Vendita"
"Display Prices On Product View Page","Visualizza i prezzi nella Pagina di Visualizzazione Prodotto"
"Enable FPT","Abilitare FPT"
"Excluding FPT","Escluso FPT"
"Excluding FPT, FPT description, final price","Escludi FPT, FPT descrizione, prezzo finale"
"Fixed Product Tax","Tassa fissa prodotto"
"Fixed Product Taxes","Tasse Prodotto fisse"
"Include FPT In Subtotal","Includi FPT nel subtotale"
"Including FPT and FPT description","Includendo FPT e descrizione FPT"
"Including FPT and FPT description [incl. FPT VAT]","Includi descrizione FPT e FPT  [incl. FPT VAT]"
"Including FPT only","Includendo solo FPT"
"Total","Totale"
"Total Incl. Tax","Totale tasse incl."
"Total incl. tax","Totale tasse incluse"
"Total:","Totale:"
