"-- Please Select --","-- Seleziona --"
"Add to Cart","Aggiungi al Carrello"
"Choose an Option...","Scegli un'opzione..."
"Enabled","Abilitato"
"General Settings","Impostazioni Generali"
"Height","Altezza"
"In Stock","Disponibile"
"Out of Stock","Non Disponibile"
"Previous","Precedente"
"Remove This Item","Rimuovi questo articolo"
"Width","Larghezza"
