"API Login ID","ID Login API"
"Accepted Currency","Valuta accettata"
"Authorize Only","Autorizza solamente"
"Authorize and Capture","Autorizza e trattieni"
"Cancel","Annulla"
"Credit Card Types","Tipi di carta di credito"
"Credit Card Verification","Verifica della carta di credito"
"Email Customer","Email cliente"
"Enabled","Abilitato"
"Invalid amount for authorization.","totale non valido per l'autorizzazione."
"Invalid amount for capture.","Importo non valido per l'acquisizione."
"Invalid amount for refund.","Importo non valido per il rimborso."
"Maximum Order Total","Totale ordine massimo"
"Merchant's Email","Email del venditore"
"Minimum Order Total","Totale ordine minimo"
"New Order Status","Nuovo stato dell'ordine"
"Payment Action","Azione di pagamento"
"Payment authorization error.","Errore Autorizzazione Pagamento"
"Payment capturing error.","Errore nell'acquisizione del pagamento."
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da Paesi specifici"
"Payment refunding error.","Errore di rimborso del pagamento."
"Payment voiding error.","Errore nell'annullamento del pagamento."
"Sort Order","Ordinamento"
"Test Mode","Modalità test"
"Title","Titolo"
"Transaction Key","Chiave di transazione"
"authorize","autorizza"
"authorize and capture","autorizza e trattieni"
"capture","trattieni"
"failed","non riuscito"
"refund","rimborso"
"successful","con successo"
"void","nullo"
