"%s - Discounts and Coupons","%s – Sconti e coupons"
"%s has reached a quantity of %s.","%s ha raggiunto la quantità di %s."
"%s's Wishlist","%s di Wishlist"
"Cannot retrieve the wishlist","Impossibile recuperare wishlist"
"Catalog","Catalogo"
"Category Feeds","Categorie Feeds"
"Click for price","Clicca per il prezzo"
"Comment: %s<br/>","Commento: %s<br/>"
"Coupons/Discounts","Coupon/Sconti"
"Current Status: %s<br/>","Status corrente: %s<br/>"
"Customer Name: %s","Nome utente: %s"
"Customer Order Status Notification","Notifica cliente sullo status dell'ordine"
"Details for %s #%s","Dettagli per %s #%s"
"Discount","Sconto"
"Discount (%s)","Sconto (%s)"
"Enable RSS","Abilita RSS"
"Error in processing xml. %s","Errore eleborando xml. %s"
"From:","Da:"
"Get Feed","Ottieni Feed"
"Gift Message","Messaggio regalo"
"Grand Total","Totale complessivo"
"Low Stock Products","Prodotti con scarsa disponibilità"
"Message:","Messaggio:"
"Miscellaneous Feeds","Feed varie"
"New Orders","Nuovi ordini"
"New Products","Nuovi prodotti"
"New Products from %s","Nuovi prodotti da %s"
"Notified Date: %s<br/>","Data notificata: %s<br/>"
"Order","Ordine"
"Order # %s Notification(s)","Ordine # %s notifiche"
"Order #%s created at %s","Ordine #% creato come %s"
"Pending product review(s)","Recensioni prodotto in sospeso"
"Product: ""%s"" review By: %s","Prodotto: ""%s"" recensito da: %s"
"Product: <a href=""%s"">%s</a> <br/>","Prodotto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Prodotti taggati come %s"
"Purchased From: %s","Acquistato da: %s"
"RSS Feeds","Feed RSS"
"Review: %s <br/>","Recensione: %s <br/>"
"Rss Config","Config. RSS"
"Shipping &amp; Handling","Spedizione e gestione"
"Special Products","Prodotti a prezzo speciale"
"Store: %s <br/>","Negozio: %s <br/>"
"Subtotal","Subtotale"
"Summary of review: %s <br/>","Sommario delle revisioni: %s <br/>"
"Tags Products","Tags prodotti"
"Tax","Tassa"
"There are no Rss Feeds","Non ci sono Rss Feeds"
"To:","A:"
"Top Level Category","Categoria a livello superiore"
"Total: %s<br/>","Totale: %s<br/>"
"Wishlist","Lista desideri"
"click <a href=""%s"">here</a> to view the review","Premi <a href=""%s"">qui</a> per consultare la recensione"
