"1 star","1 stella"
"2 stars","2 stelle"
"3 stars","3 stelle"
"4 stars","4 stelle"
"5 stars","5 stelle"
"Add New Rating","Aggiungi nuova valutazione"
"Assigned Options","Opzioni assegnate"
"Be the first to review this product","Sii il primo a recensire questo prodotto"
"Default Value","Valore predefinito"
"Delete Rating","Elimina valutazione"
"Edit Rating","Modifica voto"
"If you do not specify a rating title for a store, the default value will be used.","Se non specifichi un titolo per il voto del negozio, verrà usato il valore predefinito."
"Manage Ratings","Gestisci valutazioni"
"New Rating","Nuova valutazione"
"Option Label","Opzioni etichetta"
"Option Title","Titolo opzione"
"Option Title:","Titolo opzione:"
"Please select one of each ratings above","Per favore seleziona un voto di sopra"
"Rating Information","Informazioni valutazione"
"Rating Name","Nome voto"
"Rating Options","Opzioni voto"
"Rating Title","Titolo Valutazione"
"Rating Visibility","Visibilità Valutazione"
"Rating isn't Available","Valutazione non disponibile"
"Rating with the same title","Voto con lo stesso titolo"
"Save Rating","Salva valutazione"
"Sort Order","Ordinamento"
"Visible In","Visibile In"
