"Add Recipient","Aggiungi destinatario"
"Allow for Guests","Permetti agli ospiti"
"Back","Indietro"
"Email Address","Indirizzo email"
"Email Address:","Indirizzo Email:"
"Email to a Friend","Segnala ad un amico"
"Enabled","Abilitato"
"Invalid Sender Information","Informazioni mittente non validi"
"Limit Sending By","Limite di invio di"
"Max Products Sent in 1 Hour","Massimi prodotti inviati in 1 ora"
"Max Recipients","Destinatari Massimi"
"Maximum %d email addresses allowed.","Sono consentiti al massimo %d email "
"Message:","Messaggio:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Mittente:"
"Remove Email","Rimuovi email"
"Select Email Template","Seleziona Template Email"
"Send Email","Invia email"
"Send product to a friend","Invia prodotto ad un amico"
"Sender:","Mittente:"
"Some emails were not sent.","Alcuni messaggi non sono stati inviati."
"The link to a friend was sent.","Il link di invio all'amico è stato inviato."
