"Actions","Azioni"
"Active","Attiva"
"Add New Rule","Aggiungi nuova regola"
"Apply","Applica"
"Apply Rules","Applica regole"
"Attribute Set","Set di attributi"
"By Fixed Amount","Per importo fisso"
"Catalog","Catalogo"
"Catalog Price Rule","Regola di prezzo del catalogo"
"Catalog Price Rules","Regole di prezzo del catalogo"
"Category","Categoria"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare bianco per tutti i prodotti)"
"Conditions Combination","Combinazione di condizioni"
"Customer Groups","Gruppi cliente"
"Date Expire","Data di scadenza"
"Date From","Data da"
"Date Start","Data inizio"
"Date To","Data Al"
"Description","Descrizione"
"Discount Amount","Sconto quantità"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"Expiration Date","Data di scadenza"
"From Date","Dalla data"
"General Information","Informazioni Generali"
"Inactive","Inattivo"
"New Rule","Nuova regola"
"Options","Opzioni"
"Priority","Priorità"
"Product Attribute","Attributo Prodotto"
"Promotions","Promozioni"
"Rule Information","Informazioni sulle regole"
"Rule Name","Nome regola"
"Save and Apply","Salva e applica"
"Save and Continue Edit","Salva e continua modifica"
"Start Date","Data Inizio"
"Status","Stato"
"This rule no longer exists.","Questa regola non esiste più."
"To Date","Alla data"
"To Fixed Amount","Per importo fisso"
"Type","Tipo"
"Update product's %s %s: %s","Aggiornamento dei prodotti %s %s: %s"
"Website","Sito Web"
"Websites","Website"
"Yes","Sì"
