"Done","Fine"
"Less than a minute","Meno di un minuto."
"Memory Used: %s","Memoria utilizzata: %s"
"Processed records: %s","Registrazioni processate: %s"
"Sheet 1","Foglio 1"
"Starting %s :: %s","Inizio %s :: %s"
"Total records: %s","Totale registrazioni: %s"
"hour","ora"
"hours","ore"
"minute","minuto"
"minutes","minuti"
