"Action","Azione"
"Are you sure you want to delete the selected backup(s)?","Sei sicuro di che voler eliminare i backup selezionati?"
"Backups","Backup"
"Create Backup","Crea Backup"
"Database Backup","Backup del database"
"Database and Media","Database e Media"
"Database and Media Backup","Backup Database e Media"
"Database was successfuly backed up.","Il backup del Database è riuscito."
"Download","Scarica"
"Enable Scheduled Backup","Abilita backup pianificati"
"Frequency","Frequenza"
"Maintenance Mode","Modalità manutenzione"
"Name","Nome"
"Rollback","Ripristina"
"Start Time","Ora di inizio"
"System","Sistema"
"System (excluding Media)","Sistema (escluso Media)"
"System Backup","Backup di sistema"
"Time","Orario"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Impossibile creare il backup. Riprovare più tardi."
