"Action","Azione"
"Add Sitemap","Aggiungi sitemap"
"Always","Sempre"
"CMS Pages Options","Opzioni Pagine CMS"
"Categories Options","Opzioni Categorie"
"Daily","Giornalmente"
"Edit Sitemap","Modifica Sitemap"
"Enabled","Abilitato"
"Error Email Recipient","Destinatario Email di errore"
"Error Email Sender","Mittente Email di errore"
"Error Email Template","Template Email di errore"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Impossibile salvare il file ""%s"" assicurati che la cartella ""%s"" sia scrivibile da un web server"
"Filename","Nome file"
"Frequency","Frequenza"
"Generate","Genera"
"Generation Settings","Impostazioni di generazione"
"Google Sitemap","Mappa del sito Google"
"Hourly","Oraria"
"Last Time Generated","Ultima generazione"
"Link for Google","Link per Google"
"Monthly","Mensilmente"
"Never","Mai"
"New Sitemap","Nuova sitemap"
"Path","Percorso"
"Please create the specified folder ""%s"" before saving the sitemap.","Per favore creare la cartella ""%s"" prima di salvare la mappa del sito."
"Please define correct path","Definire il percorso"
"Please make sure that ""%s"" is writable by web-server.","Assicurati che ""%s"" sia scrivibile dal web server"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usa soltanto lettere (a-z o A-Z), numeri (0-9) o underscore (_) nel nome del file. Non sono ammessi spazi e altri caratteri"
"Priority","Priorità"
"Products Options","Opzioni Prodotti"
"Sitemap generate Warnings","Avvisi relativi alla generazione del Sitemap"
"Start Time","Ora di inizio"
"Store View","Vista Negozio"
"The priority must be between 0 and 1.","La priorità deve essere compresa tra 0 e 1."
"This sitemap no longer exists.","Questa sitemap non esiste più."
"Weekly","Settimanalmente"
"Yearly","Annuale"
