"Add","Aggiungi"
"Allow Gift Messages for Order Items","Consenti i messaggi di regalo per gli elementi dell'ordine"
"Allow Gift Messages on Order Level","Consenti i messaggi regalo a livello di ordine"
"Are you sure?","Sei sicuro?"
"Cancel","Annulla"
"Do you have any gift items in your order?","Hai un articolo regalo qualsaisi nel tuo ordine?"
"Edit","Modifica"
"From","Dal"
"Gift Message","Messaggio regalo"
"Gift Options","Opzioni regalo"
"Gift Options for Individual Items","Opzioni regalo per singoli elementi"
"Item %d of %d","Oggetto %d di %d"
"Message","Messaggio"
"Save Gift Message","Salva messaggio regalo"
"To","Al"
"Unknown entity type","Tipo entità sconosciuta"
"Use config","Utilizzare config"
"Yes","Sì"
