"-- Please Select --","-- Seleziona --"
"Attribute Code","Codice Attributo"
"Attribute Label","Etichetta attributo"
"Begin data validation","Inizia convalida dei dati"
"Cannot get autoincrement value","Non è possibile ottenere il valore di autoincremento"
"Check Data","Verifica dati"
"Customers","Clienti"
"Delete Entities","Elimina entità"
"Destination file is not writable","Il file di destinazione non è scrivibile"
"Entity Type","Tipo entità"
"Entity is unknown","Entity sconosciuta"
"Export","Esporta"
"Export File Format","Esporta formato file"
"Export Settings","Esporta impostazioni"
"File is valid! To start import process press ""Import"" button","Il file è valido! Per avviare il processo di importazione premere il pulsante ""Importa"""
"Filter","Filtro"
"From","Dal"
"Import","Importa"
"Import Behavior","Comportamento importazione"
"Import Settings","Importa impostazioni"
"Import/Export","Importa/Esporta"
"No valid data sent","Dati non validi inviati"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Correggi gli errori e ri-carica il file o semplicemente premi il pulsante ""Importa"" per saltare le righe con errori"
"Products","Prodotti"
"Select File to Import","Selezionare il File da importare"
"Status","Stato"
"There are no product types available for export","Non ci sono tipi di prodotto disponibili per l'esportazione"
"To","Al"
"Unknown attribute filter type","Tipo di filtro di attributo sconosciuto"
