"Actions","Azioni"
"Active","Attiva"
"Add New Rule","Aggiungi nuova regola"
"Alphabetical","Alfabetico"
"Alphanumeric","Alfanumerico"
"Apply","Applica"
"Apply To","Applica a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Applica la regola solo alle seguenti condizioni (lascia vuoto per tutti i prodotti)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni (lascia vuoto per tutti gli oggetti)"
"Apply the rule to cart items matching the following conditions","Applica la regola soltanto agli oggetti del carrello che hanno le seguenti condizioni"
"Apply to Shipping Amount","Applica all'importo di spedizione"
"Are you sure you want to delete the selected coupon(s)?","Sei sicuro di voler cancellare i coupon selezionati?"
"Auto Generated Specific Coupon Codes","Codici coupon specifici autogenerati"
"Buy X get Y free (discount amount is Y)","Compra X per ottenere Y gratis (l'importo dello sconto è Y)"
"By Fixed value","Di un valore fisso"
"By Percentage","In percentuale"
"Can't acquire coupon.","Impossibile acquisire coupon."
"Cart Attribute","Attributo nel carrello"
"Catalog","Catalogo"
"Code Format","Formato codice"
"Code Length","Lunghezza codice"
"Code Prefix","Prefisso codice"
"Code Suffix","Suffisso codice"
"Conditions","Condizioni"
"Conditions combination","Combinazione di condizioni"
"Coupon Code","Codice Coupon"
"Coupon Qty","Qtà Coupon"
"Coupon with the same code","Coupon con lo stesso codice"
"Created On","Creato su"
"Customer Groups","Gruppi cliente"
"Dash Every X Characters","Trattino ogni X caratteri"
"Date Expire","Data di scadenza"
"Date Start","Data inizio"
"Default Label","Etichetta predefinita"
"Default Rule Label for All Store Views","Etichetta Regola predefinita per tutte le viste negozio"
"Description","Descrizione"
"Discount Amount","Sconto quantità"
"Discount Qty Step (Buy X)","Step sconto qtà (Compra X)"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"Excluding prefix, suffix and separators.","Escludendo prefissi, suffissi e separatori."
"FOUND","TROVATI"
"Fixed amount discount","Sconto importo fisso"
"Fixed amount discount for whole cart","Sconto di importo fisso per intero carrello"
"For matching items only","Solo per elementi corrispondenti"
"For shipment with matching items","Per la spedizione con oggetti corrispondenti"
"Free Shipping","Spedizione Gratuita"
"From Date","Dalla data"
"General Information","Informazioni Generali"
"Generate","Genera"
"If empty no separation.","Se è vuoto non separare."
"Inactive","Inattivo"
"Labels","Etichette"
"Manage Coupon Codes","Gestisci codici coupon"
"Maximum Qty Discount is Applied To","Sconto massimo Qty è applicato a"
"NOT FOUND","NON TROVATO"
"NOT LOGGED IN","NON LOGGATO"
"New Rule","Nuova regola"
"No Coupon","Nessun Coupon"
"Number of Uses","Numero di utilizzi"
"Numeric","Numerico"
"Payment Method","Metodo di pagamento"
"Percent of product price discount","Percentuale di sconto sul prezzo del prodotto"
"Period","Periodo"
"Price in cart","Prezzo nel carrello"
"Priority","Priorità"
"Product attribute combination","Combinazione di attributi prodotto"
"Products subselection","Sottoselezione prodotti"
"Promotions","Promozioni"
"Public In RSS Feed","Pubblica nel Feed RSS"
"Quantity in cart","Quantità nel carrello"
"Row total in cart","Riga totale nel carrello"
"Rule Information","Informazioni sulle regole"
"Rule Name","Nome regola"
"Rule is not defined","La regola non è definita"
"Save and Continue Edit","Salva e continua modifica"
"Shipping Country","Paese di spedizione"
"Shipping Method","Metodo di Spedizione"
"Shipping Postcode","Codice postale di spedizione"
"Shipping Region","Regione di spedizione"
"Shipping State/Province","Provincia di spedizione"
"Shopping Cart Price Rule","Regola prezzo carrello"
"Shopping Cart Price Rules","Regole prezzo carrello"
"Special Price","Prezzo speciale"
"Specific Coupon","Specifico Coupon"
"Status","Stato"
"Store View Specific Labels","Etichette vista negozio"
"Subtotal","Subtotale"
"Subtotal Amount","Importo Subtotale"
"This rule no longer exists.","Questa regola non esiste più."
"Times Used","Volte usati"
"To Date","Alla data"
"To Fixed Value","A valore fisso"
"To Percentage","In percentuale"
"Total","Totale"
"Total Amount","Importo totale"
"Total Items Quantity","Quantità totale elementi"
"Total Weight","Peso totale"
"Update prices using the following information","Aggiornamento prezzi usando le seguenti informazioni"
"Update product's %s %s: %s","Aggiornamento dei prodotti %s %s: %s"
"Update the Product","Aggiornamento del prodotto"
"Use Auto Generation","Usa la generazione automatica"
"Used","Usato"
"Uses per Coupon","Usi per Coupon"
"Uses per Customer","Usi per cliente"
"Website","Sito Web"
"Websites","Website"
"Yes","Sì"
"total amount","importo totale"
"total quantity","quantità totale"
