"%s and greater","%s e superiore"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d Articoli/o</strong> sono stati trovati usando i seguenti criteri di ricerca"
"Advanced Search","Ricerca avanzata"
"All","Tutti"
"Catalog Advanced Search","Ricerca avanzata del catalogo"
"Catalog Search","Ricerca nel catalogo"
"Don't see what you're looking for?","Non trovi quello che stai cercando?"
"Go","Vai"
"Go to Home Page","Vai alla Home Page"
"Grid","Griglia"
"List","Lista"
"Maximum Query Length","Lunghezza massima della Query"
"Maximum Query Words Count","Conteggio massimo parole Query"
"Minimal Query Length","Lunghezza minima della Query"
"Modify your search","Modifica la tua ricerca"
"No items were found using the following search criteria.","Non sono stati trovati articoli utilizzando i seguenti criteri di ricerca."
"Popular Search Terms","Termini di ricerca popolari"
"Rebuild Catalog product fulltext search index","Ricostruisci l'indice di ricerca fulltext del catalogo prodotti"
"Relevance","Rilevanza"
"Results","Risultati"
"Search","Cerca"
"Search Settings","Impostazioni di ricerca"
"Search Terms","Termini di ricerca"
"Search Type","Tipo ricerca"
"Search entire store here...","Cerca nell'intero negozio..."
"Search results for '%s'","Risultati ricerca per '%s'"
"Search results for: '%s'","Risultati ricerca per: '%s'"
"Subscribe to Feed","Iscriviti al Feed"
"There are no search terms available.","Non ci sono termini di ricerca disponibili."
"Yes","Sì"
"Your search returns no results.","La tua ricerca non ha prodotto risultati."
"up to %s","fino a %s"
