"Add","Aggiungi"
"Add New Role","Aggiungi Nuovo Ruolo"
"Address Type","Tipo di indirizzo"
"Admin","Amministratore"
"Allow","Permetti"
"Assigned","Assegnato"
"Attribute Set","Set di attributi"
"Attributes","Attributi"
"Automatically Return Credit Memo Item to Stock","Restituisci automaticamente la nota di credito elemento all'inventario"
"Back","Indietro"
"Backorders","Inevasi"
"Base Currency","Valuta di base"
"Catalog","Catalogo"
"Category ID","ID categoria"
"City","Città"
"Company","Azienda"
"Country","Paese"
"Coupon Code","Codice Coupon"
"Create","Crea"
"Create Permanent Redirect for old URL","Crea un Redirect permanente per il vecchio URL"
"Customer","Cliente"
"Customer Address","Indirizzo cliente"
"Customer First Name","Nome cliente"
"Customer ID","ID cliente"
"Customer Last Name","Cognome cliente"
"Delete","Elimina"
"Deny","Nega"
"Discount","Sconto"
"Discount Amount","Sconto quantità"
"Edit","Modifica"
"Edit Role","Modifica Ruolo"
"Enable Qty Increments","Abilita incrementi qtà"
"Exclude","Escludi"
"File Name","Nome file"
"First Name","Nome"
"Gift Message","Messaggio regalo"
"Grand Total","Totale complessivo"
"Grand Total to Be Charged","Totale complessivo da addebitare"
"Group","Gruppo"
"Guest","Ospite"
"Label","Etichetta"
"Last Name","Cognome"
"Manage Stock","Gestisci scorte"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"New Role","Nuovo Ruolo"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Order","Ordine"
"Order Comments","Commenti ordine"
"Order Date","Data ordine"
"Order ID","ID ordine"
"Order Status","Status Ordine"
"Orders","Ordini"
"Original Price","Prezzo originale"
"Payment Method","Metodo di pagamento"
"Phone Number","Numero di telefono"
"Placed from IP","Inserito da IP"
"Position","Posizione"
"Price","Prezzo"
"Product","Prodotto"
"Product ID","ID prodotto"
"Product Type","Tipo prodotto"
"Qty","Qtà"
"Qty Increments","Incrementi qtà"
"Qty Uses Decimals","Qtà utilizza decimali"
"Role Info","Info ruolo"
"Role Information","Informazioni sul Ruolo"
"Role Name","Nome ruolo"
"Role Users","Ruolo utenti"
"Roles","Ruoli"
"SKU","Cod.Art."
"Sales","Vendite"
"Save","Salva"
"Shipping Amount","Importo di spedizione"
"Shipping Method","Metodo di Spedizione"
"State","Stato"
"Stock Availability","Disponibilità"
"Stock Status","Status inventario"
"Store Name","Nome Negozio"
"Subtotal","Subtotale"
"System","Sistema"
"Tax Amount","Importo tasse"
"Tax Percent","Percentuale tassa"
"Tax Rate","Aliquota fiscale"
"Total Due","Totale dovuto"
"Total Paid","Totale pagato"
"Total Refunded","Totale rimborsato"
"Type","Tipo"
"Update","Aggiorna"
"Web Services","Servizi web"
"Web services","Servizi web"
"ZIP/Postal Code","CAP"
