"API Login ID","API 登录 Id"
"Accepted Currency","接受货币"
"Authorize Only","仅供授权"
"Authorize and Capture","授权和获取"
"Cancel","取消"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug","调试"
"Email Customer","电子邮件客户"
"Enabled","启动"
"Invalid amount for authorization.","授权金额无效。"
"Invalid amount for capture.","获取的金额无效。"
"Invalid amount for refund.","退款金额无效。"
"Maximum Order Total","最大订单金额"
"Merchant's Email","商家的电子邮件"
"Minimum Order Total","最高订单金额"
"New Order Status","新订单状态"
"Payment Action","支付行为"
"Payment authorization error.","付款授权错误。"
"Payment capturing error.","付款时出错。"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Payment refunding error.","退款出错。"
"Payment voiding error.","无效的错误付款。"
"Sort Order","排序"
"Test Mode","测试模板"
"Title","标题"
"Transaction Key","交易密钥"
"authorize","授权"
"authorize and capture","授权和获取"
"capture","获取"
"failed","失败"
"refund","退款"
"successful","成功"
"void","无效"
