"--Please Select--","-- 请选择 --"
"API Login ID","API 登录 Id"
"Accepted Currency","接受货币"
"Authorize.net Direct Post","Authorize.net 直接付款"
"Card Verification Number","信用卡验证号码"
"Card Verification Number Visual Reference","信用卡验证号码 视觉参考"
"Close","关闭"
"Credit Card Information","信用卡信息"
"Credit Card Number","信用卡卡号"
"Credit Card Type","卡片验证号码"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡验证"
"Debug","调试"
"Email Customer","电子邮件客户"
"Enabled","启动"
"Expiration Date","过期日期"
"Gateway URL","网关网址"
"Maximum Order Total","最大订单金额"
"Merchant MD5","商家的MD5哈希值"
"Merchant's Email","商家的电子邮件"
"Minimum Order Total","最高订单金额"
"New Order Status","新订单状态"
"Order saving error: %s","储存订单的错误信息%s"
"Payment Action","支付行为"
"Payment authorization error.","付款授权错误。"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Sort Order","排序"
"Test Mode","测试模板"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"Title","标题"
"Transaction Key","交易密钥"
"What is this?","这是什么？"
