"%s and greater","%s及更大"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d商品</strong>为下列搜索条件相匹配的商品。"
"Advanced Search","高级搜索"
"All","全部"
"Catalog Advanced Search","高级分类搜索"
"Catalog Search","分类搜索"
"Don't see what you're looking for?","找不到想找的的东西？"
"Go to Home Page","前往主页"
"Grid","%1及以上"
"Home","首页"
"List","列表"
"Maximum Query Length","最大查询长度"
"Maximum Query Words Count","最大查询词数"
"Minimal Query Length","最小查询长度"
"Modify your search","修改您的搜索"
"No","否"
"No items were found using the following search criteria.","没有找到与下列搜索条件相匹配的产品。"
"Popular Search Terms","热门搜索词"
"Rebuild Catalog product fulltext search index","重建目录产品全文搜索索引"
"Relevance","相关性"
"Results","结果"
"Search","搜索"
"Search Settings","搜索设置"
"Search Terms","搜索条件"
"Search Type","搜索类型"
"Search entire store here...","在这里搜索整个商店..."
"Search results for '%s'","有关'%s'的搜索结果："
"Search results for: '%s'","搜索结果: '%s'"
"Subscribe to Feed","订阅Feed"
"There are no search terms available.","没有搜索条件。"
"Yes","是"
"Your search returns no results.","没有搜索到任何结果。"
"up to %s","多达%s"
