"Action","操作"
"Delete","删除"
"Description","描述"
"Disable","禁用"
"Enable","启用"
"General","基本的"
"Index Management","索引管理"
"Mode","模式"
"Never","永不"
"No","否"
"Processing","处理中"
"Ready","准备好了"
"Refresh","刷新"
"Status","状态"
"System","系统"
"Update on Save","更新保存"
"Updated At","更新"
"Yes","是"
