"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">链接</a>"
"Done","完成"
"ETA: %s","预期：%s"
"Less than a minute","少于1分钟"
"Memory Used: %s","使用内存：%s"
"Processed records: %s","处理记录：%s"
"Sheet 1","表 1"
"Starting %s :: %s","开始 %s :: %s"
"Total records: %s","总记录：%s"
"hour","小时"
"hours","小时"
"minute","分钟"
"minutes","分钟"
