"* Required Fields","*必要字段"
"Admin","管理员"
"Authorize","授权"
"Callback URL","回调 URL"
"Cleanup Probability","清理概率"
"Cleanup Settings","清理设置"
"Close","关闭"
"Created At","创建于"
"Customer","客户"
"Delete","删除"
"Disable","禁用"
"Disabled","禁用"
"Edit","编辑"
"Email","邮箱"
"Email Address","电子邮件地址"
"Enable","启用"
"Enabled","启动"
"Expiration Period","到期时间"
"ID","编号ID"
"Invalid Callback URL","无效的回调 URL"
"Invalid Rejected Callback URL","无效的被拒绝的回调 URL"
"Key","密钥"
"Log In","登录"
"Login","登录"
"Name","名字"
"Password","密码"
"Permissions","权限"
"Reject","拒绝"
"Role Name","角色名称："
"Save","保存"
"Save and Continue Edit","保存并继续编辑"
"Status","状态"
"System","系统"
"User ID","用户 ID"
"User Name","用户名称"
