"ALL","所有"
"ANY","任何"
"Add","添加"
"Apply","应用"
"Conditions Combination","条件组合"
"FALSE","假"
"If %s of these conditions are %s:","如%s的条件为%s："
"Invalid discount amount.","错误的折扣价格"
"Open Chooser","打开选择器"
"Perform following actions","执行下列操作"
"Please choose a condition to add...","请选择要增加的条件..."
"Please choose an action to add...","请选择要增加的操作..."
"Remove","删除"
"TRUE","真正"
"by","通过"
"contains","包含"
"does not contain","不包含"
"does not contains","不包含"
"equals or greater than","等于或小于"
"equals or less than","等于或小于"
"for","为"
"for greater than","为大于"
"for or greater than","或大于"
"found","发现"
"from","从"
"greater than","大于"
"is","是"
"is not","不是"
"is not one of","不是的"
"is one of","小于"
"less than","小于"
"not found","找不到"
"not from","不是从"
"to","至"
"was","是"
"was not","不是"
