"Add","添加"
"Allow Gift Messages for Order Items","允许订购物品的礼品信息"
"Allow Gift Messages on Order Level","允许订单的礼物留言"
"Are you sure?","您确定吗？"
"Cancel","取消"
"Do you have any gift items in your order?","您的订单有什么礼物吗?"
"Edit","编辑"
"From","从"
"Gift Message","礼品消息"
"Gift Options","礼物选项"
"Gift Options for Individual Items","个别项目的礼物选项"
"Item %d of %d","第%d件，共%d件"
"Message","信息"
"No","否"
"OK","确定"
"Save Gift Message","保存礼物留言"
"To","至"
"Unknown entity type","未知的实体类型"
"Use config","用户配置"
"Yes","是"
