"Action","操作"
"Add Sitemap","添加网站地图"
"Always","总是"
"CMS Pages Options","CMS 页选项"
"Categories Options","类别选项"
"Daily","每天"
"Edit Sitemap","编辑站点地图"
"Enabled","启动"
"Error Email Recipient","错误邮件模板"
"Error Email Sender","错误的电子邮件发件人"
"Error Email Template","错误的电子邮件模板"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s""无法储存。Please, make sure the directory ""%s"" is writeable by web server."
"Filename","文件名"
"Frequency","频率"
"Generate","生成"
"Generation Settings","生成设置"
"Google Sitemap","Google网站地图"
"Hourly","每小时"
"ID","编号ID"
"Last Time Generated","最后生成时间"
"Link for Google","谷歌的链接"
"Monthly","每月"
"Never","永不"
"New Sitemap","新网站地图"
"Path","路径"
"Please create the specified folder ""%s"" before saving the sitemap.","在保存网站地图之前请创建指定目录 ""%s""。"
"Please define correct path","请定义正确的路径"
"Please make sure that ""%s"" is writable by web-server.","请确保 web 服务器具有对 ""%s"" 的写入权限。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","文件命名时请只使用 字母 (a-z 或 A-Z), 数字 (0-9) 或者下划线 (_) 。不允许空格或者其他字符。"
"Priority","优先级"
"Products Options","产品选项"
"Sitemap","网站地图"
"Sitemap generate Warnings","网站地图生成警告"
"Start Time","平率"
"Store View","商店界面"
"The priority must be between 0 and 1.","优先级必须介于 0 和 1 之间。"
"This sitemap no longer exists.","这个网站地图不再存在。"
"Weekly","每月"
"Yearly","每年"
