"-- Please Select --","-- 请选择 --"
"Add to Cart","添加到购物车"
"Choose an Option...","选择一个选项。"
"Enabled","启动"
"General Settings","一般设置"
"Height","宽度"
"In Stock","有货"
"Out of Stock","缺货"
"Previous","前一页"
"Remove This Item","删除该内容"
"Width","宽"
