"* Required Fields","*必要字段"
"--Please Select--","-- 请选择 --"
"<label>Make Check payable to:</label> %s","<label>支票抬头：</label> %s"
"Bank Transfer Payment","银行转移支付"
"Card Verification Number","信用卡验证号码"
"Cash On Delivery Payment","现金交货付款"
"Check / Money Order","支票/汇票"
"Credit Card Number","信用卡卡号"
"Credit Card Number: xxxx-%s","信用卡号： xxxx-%s"
"Credit Card Type","卡片验证号码"
"Credit Card Type: %s","信用卡类型： %s"
"Credit Card Types","信用卡类型"
"Credit card type is not allowed for this payment method.","此付款方式不允许此信用卡类型。"
"Currency","货币"
"Day","天"
"Debug Mode","调试模式"
"Enabled","启动"
"Expiration Date","过期日期"
"Expiration Date: %s/%s","有效期： %s/%s"
"Incorrect credit card expiration date.","不正确的信用卡到期日期。"
"Instructions","说明"
"Invalid Credit Card Number","无效的信用卡卡号"
"Issue Number","发行号"
"Make Check Payable to","应付支票："
"Make Check payable to:","支票抬头："
"Make Check payable to: %s","支票抬头: %s"
"Maximum Order Total","最大订单金额"
"Merchant ID","商家ID"
"Minimum Order Total","最高订单金额"
"Month","月"
"N/A","无"
"Name on Card","信用卡上的名字"
"Name on the Card: %s","信用卡上的名字：%s"
"New Order Status","新订单状态"
"Password","密码"
"Payment Method","支付方式"
"Payment Methods","付款方式"
"Payment Services","付款服务"
"Payment from Applicable Countries","来自特定国家的付款"
"Payment from Specific Countries","具体国家的付款"
"Please enter a valid credit card verification number.","请输入有效的信用卡验证号码。"
"Purchase Order","采购订单"
"Purchase Order Number","采购订单编号"
"Purchase Order Number: %s","订购单号: %s"
"Saved CC","已储存 CC"
"Selected payment type is not allowed for billing country.","计费国家不允许所选的付款类型。"
"Send Check to","支票寄到"
"Send Check to:","所有商品自动生成发票"
"Shipping Amount","航运量"
"Sort Order","排序"
"Start Date","起始日期"
"Switch/Solo/Maestro Issue Number","在什么位置或怎么查找?"
"Switch/Solo/Maestro Only","问题编号"
"Switch/Solo/Maestro Start Date","在什么位置或怎么查找日期?"
"Tax Amount","税额"
"Test Mode","测试模板"
"The payment review action is unavailable.","付款审查行动是不可用的。"
"The requested Payment Method is not available.","付款方法不可用。"
"Title","标题"
"Unable to save Billing Agreement:","无法保存收费协议:"
"What is this?","这是什么？"
"Year","年 "
"Zero Subtotal Checkout","零额结帐"
