"%1$s incl tax.","%1$s vergi dahil."
"* Required Fields","* Zorunlu Alan"
"-- Select --","-- Seçiniz --"
"Add New Option","Yeni Seçenek Ekleyin"
"Add Selection","Seçim Ekle"
"As Low as","En düşük"
"As low as","En düşük"
"Bundle Items","Birleştirilmiş Ürünler"
"Bundle Product","Hediye Ürün"
"Buy %1$s for %2$s","%1$s için %2$s öde"
"Buy %1$s for %2$s (%3$s incl. tax) each","%1$s al, her biri için %2$s öde (Vergi Dahil %3$s)"
"Buy %1$s for %2$s each","%1$s al, her biri için %2$s öde"
"Buy %1$s with %2$s discount each","%1$s ile %2$s alırsanız ikisini de indirimli alırsınız"
"Checkbox","Onay Kutusu"
"Choose a selection...","Bir seçim seçiniz…"
"Click for price","Fiyat için tıklayınız"
"Close","Kapat"
"Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default Title","Varsayılan Başlık"
"Drop-down","Açılır Menü"
"Dynamic","Dinamik"
"Excl. Tax","Vergi Hariç"
"Excl. Tax:","Vergi Hariç :"
"Fixed","Sabit"
"From","Baş"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Incl. Tax","Vergi Dahil"
"Incl. Tax:","Vergi Dahil:"
"Input Type","Giriş Tipi"
"Is Required","Zorunlu"
"Message:","Mesaj:"
"Multiple Select","Çoklu Seçim"
"N/A","Mevcut Değil"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Hiçbiri"
"Percent","Yüzde"
"Percent Discount","İndirim oranı"
"Please Select Products to Add","Eklenecek Ürünleri Seçiniz"
"Please enter a number greater 0 in this field.","Lütfen bu alanda 0'dan daha büyük bir sayı girin."
"Please enter search conditions to view products.","Ürünleri görmek için arama kelimelerini giriniz."
"Please select options for product.","Lütfen ürün için seçenek seçiniz."
"Please specify product option(s).","Lütfen ürün seçenek(ler)ini tanımlayınz."
"Position","Konum"
"Price Range","Fiyat Aralığı"
"Price Type","Fiyat Tipi"
"Price as configured","Ayarlanan fiyat"
"Qty:","Miktar:"
"Radio Buttons","Çoktan Seçmeli"
"SKU","Ürün Kodu"
"Separately","Tek başına"
"Ship Bundle Items","Birleştirilmiş Ürünleri Teslim Et"
"Shipment","Teslimat"
"Store View Title","Mağaza Görünüm Başlığı"
"This product is also part of bundle(s)","Bu ürün zaten hediye ürünlerden biri"
"To","Bit"
"To:","Kime:"
"Together","Beraber"
"Total incl. Tax: %1$s","Vergi Dahil Toplam: %1$s"
"Use Default Value","Varsayılan Değeri Kullan"
"User Defined Qty","Kullanıcı Tarafından Seçilen Adet"
"and","ve"
"each","her"
"save","kaydet"
