"ALL","Tümü"
"ANY","Herhangi biri"
"Add","Ekle"
"Apply","Onayla"
"Conditions Combination","Koşullar listesi"
"FALSE","YANLIŞ"
"If %s of these conditions are %s:","Eğer bu durum kayıtlarından %s tanesi %s ise :"
"Invalid discount amount.","Hatalı indirim oranı."
"Open Chooser","Seçimi Aç"
"Perform following actions","Aşağıdaki işlemleri yap"
"Please choose a condition to add...","Eklenecek durumu seçiniz..."
"Please choose an action to add...","Eklenecek işlemi seçiniz..."
"Remove","Kaldır"
"TRUE","DOĞRU"
"by","tarafından"
"contains","içerir"
"does not contain","içermez"
"does not contains","içermez"
"equals or greater than","eşit veya büyük"
"equals or less than","eşit veya küçük"
"for","için"
"for greater than","daha büyük için"
"for or greater than","için veya daha büyük"
"found","bulundu"
"from","Baş"
"greater than","daha büyük"
"is"," "
"is not"," (değildir) "
"is not one of","bunlardan biri değil"
"is one of","bunlardan biri"
"less than","daha küçük"
"not found","bulunamadı"
"not from","değil"
"to","Bit"
"was","oldu"
"was not"," değildi "
