"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Yeni Kural Ekle"
"Apply","Onayla"
"Apply Rules","Kuralları Uygula"
"Attribute Set","Özellik Seti"
"By Fixed Amount","Sabit miktar"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Fiyat Kuralı"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Category","Kategori"
"Conditions","Koşullar"
"Conditions (leave blank for all products)","Durumlar (bütün ürünler için olacaksa boş bırakınız)"
"Conditions Combination","Koşullar listesi"
"Customer Groups","Müşteri Grupları"
"Date Expire","Bitiş Tarihi"
"Date From","Başlangıç Tarihi"
"Date Start","İlk Tarih"
"Date To","Son Tarih"
"Description","Açıklama"
"Discount Amount","İndirim Tutarı"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Expiration Date","Son Kullanma Tarihi"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"ID","No"
"Inactive","Pasif"
"New Rule","Yeni Kural"
"No","Hayır"
"Options","Seçenekler"
"Priority","Öncelik"
"Product Attribute","Ürün Özellikleri"
"Promotions","Promosyonlar"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Save and Apply","Kaydetme ve uygula"
"Save and Continue Edit","Kaydet ve Devam Et"
"Start Date","Başlangıç Tarihi"
"Status","Durum"
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"To Date","Son Tarih"
"To Fixed Amount","Sabit miktara"
"Type","Tip"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Website","Web sitesi"
"Websites","Websiteleri"
"Yes","Evet"
