"-- Please Select --","-- Lütfen Seçiniz --"
"Add to Cart","Sepete Ekle"
"Choose an Option...","Bir seçenek seçiniz..."
"Enabled","Aktif edildi"
"General Settings","Genel Ayarlar"
"Height","Yükseklik"
"In Stock","stokta mevcut"
"Out of Stock","Stok mevcut değil"
"Previous","Önceki"
"Remove This Item","Bu ürünü sil"
"Width","Genişlik"
