"* Required Fields","* Zorunlu Alan"
"Admin","Yönetim"
"Authorize","Yetkilendir"
"Callback URL","Geri Dönüş URL"
"Cleanup Probability","Temizlik Olasılığı"
"Cleanup Settings","Temizlik Ayarlar"
"Close","Kapat"
"Created At","Oluşturulduğu Tarih"
"Customer","Müşteri"
"Delete","Sil"
"Disable","İptal et"
"Disabled","Kapalı"
"Edit","Düzenle"
"Email","E-posta"
"Email Address","E-posta Adresiniz"
"Enable","Aktif et"
"Enabled","Aktif edildi"
"Expiration Period","Bitiş"
"ID","No"
"Invalid Callback URL","Hatalı Geri Çağırım URL"
"Invalid Rejected Callback URL","Geçersiz Reddedilmiş Geri İşlem URL"
"Key","Anahtar"
"Log In","Giriş"
"Login","Giriş"
"Name","Adı"
"Password","Şifre"
"Permissions","Yetkiler"
"Reject","Reddet"
"Role Name","Yetki Sınıfı Adı"
"Save","Kaydet"
"Save and Continue Edit","Kaydet ve Devam Et"
"Status","Durum"
"System","Sistem"
"User ID","Kullanıcı ID"
"User Name","Kullanıcı Adı"
