"Add","Ekle"
"Allow Gift Messages for Order Items","Sepetteki her ürün için hediye mesajına izin ver"
"Allow Gift Messages on Order Level","Siparişe Hediye Mesajı Eklemeye İzin Ver"
"Are you sure?","Emin misiniz?"
"Cancel","İptal"
"Do you have any gift items in your order?","Siparişinizde herhangi bir hediye ürünü var mı?"
"Edit","Düzenle"
"From","Baş"
"Gift Message","Hediye Mesajı"
"Gift Options","Hediye Seçenekleri"
"Gift Options for Individual Items","Tekil ürünler için hediye seçenekleri"
"Item %d of %d","Gösterilen : %d / Toplam : %d"
"Message","Mesaj"
"No","Hayır"
"OK","TAMAM"
"Save Gift Message","Hediye Mesajını Kaydet"
"To","Bit"
"Unknown entity type","Bilinmeyen entity tipi"
"Use config","Yapılandırmayı kullan"
"Yes","Evet"
