"* Required Fields","* Campos Obrigatórios"
"Admin","Administrador"
"Authorize","Autorizar"
"Callback URL","URL de retrocesso"
"Cleanup Probability","Probabilidade de limpeza"
"Cleanup Settings","Configurações de limpeza"
"Close","Fechar"
"Created At","Criado em"
"Customer","Cliente"
"Delete","Excluir"
"Disable","Desabilitado"
"Disabled","Desabilitado"
"Edit","Editar"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Enable","Habilitado"
"Enabled","Habilitado"
"Expiration Period","Período de validade"
"ID","Id."
"Invalid Callback URL","URL de Callback inválido"
"Invalid Rejected Callback URL","URL de Callback Inválido Rejeitado"
"Key","Chave"
"Log In","Entrar"
"Login","Entrar"
"Name","Nome"
"Password","Senha"
"Permissions","Permissões"
"Reject","Rejeitar"
"Role Name","Nome da Permissão"
"Save","Salvar"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Status","Situação"
"System","Sistema"
"User ID","ID de Usuário"
"User Name","Nome de Usuário"
"deleted","excluído"
