"-- Please Select --","-- Selecione uma opção --"
"Attribute Code","Código do Atributo"
"Attribute Label","Rótulo do atributo"
"Begin data validation","Iniciar a validação de dados"
"Cannot get autoincrement value","Não foi possível obter o valor de auto-incremento"
"Check Data","Verificar dados"
"Customers","Clientes"
"Delete Entities","Excluir Entidades"
"Destination file is not writable","O arquivo de destino não é gravável"
"Entity Type","Tipo de entidade"
"Entity is unknown","A entidade é desconhecida"
"Export","Exportar"
"Export File Format","Formato do arquivo de exportação"
"Export Settings","Exportar Configurações"
"File is valid! To start import process press ""Import"" button","O arquivo é válido! Para iniciar o processo de importação clique no botão ""Importar"""
"Filter","Filtro"
"From","De"
"Import","Importar"
"Import Behavior","Comportamento de Importação"
"Import Settings","Importar Configurações"
"Import/Export","Importar/Exportar"
"No valid data sent","Nenhum dado válido enviado"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor, corrija os erros e envie novamente o arquivo ou simplesmente clique no botão ""Importar"" para ignorar as linhas com erros"
"Products","Produtos"
"Select File to Import","Selecione o arquivo de importação"
"Status","Situação"
"There are no product types available for export","Nenhum tipo de produto está disponível para exportação"
"To","Até"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
