"Done","Concluído"
"ETA: %s","Hora estimada de chegada: %s"
"Less than a minute","Menos de um minuto"
"Memory Used: %s","Memória usada: %s"
"Processed records: %s","Registros processados: %s"
"Sheet 1","Folha 1"
"Starting %s :: %s","Iniciando %s :: %s"
"Total records: %s","Total de registros: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
