"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Alphabetical","Alfabética"
"Alphanumeric","Alfanumérico"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixar em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente aos itens do carrinho que atendam as seguintes condições (deixar em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Aplicar a regra aos itens do carrinho que atendam as seguintes condições"
"Apply to Shipping Amount","Aplicar ao Valor de Entrega"
"Are you sure you want to delete the selected coupon(s)?","Você tem certeza que deseja excluir o(s) cupões selecionado(s)?"
"Auto","Automático"
"Auto Generated Specific Coupon Codes","Códigos de Cupom Gerados Automaticamente Específicos"
"Buy X get Y free (discount amount is Y)","Compre X receba Y grátis (o valor do desconto é Y)"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Can't acquire coupon.","Não pode adquirir cupom."
"Cart Attribute","Atributo de Carrinho"
"Catalog","Catálogo"
"Code Format","Formato do código"
"Code Length","Tamanho do código"
"Code Prefix","Prefixo do código"
"Code Suffix","Sufixo do código"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupom"
"Coupon Code","Código do cupom"
"Coupon Qty","Qtde de Cupom"
"Coupon with the same code","Cupom com o mesmo código"
"Created On","Criado em"
"Customer Groups","Grupos de Cliente"
"Dash Every X Characters","Hífen a Cada X Caracteres"
"Date Expire","Data de expiração"
"Date Start","Data de início"
"Default Label","Etiqueta Pré-definida"
"Default Rule Label for All Store Views","Rótulo de Regra Padrão para Todas as Visões de Loja"
"Description","Descrição"
"Discount Amount","Quantidade do Desconto"
"Discount Qty Step (Buy X)","Incremento de Desconto de Quantidade (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar regra '%s'"
"Excluding prefix, suffix and separators.","Excluindo o prefixo, sufixo e separadores."
"FOUND","ENCONTRADO"
"Fixed amount discount","Desconto de valor fixo"
"Fixed amount discount for whole cart","Desconto de valor fixo para todo o carrinho"
"For matching items only","Apenas para os itens correspondentes"
"For shipment with matching items","Para envio com os itens correspondentes"
"Free Shipping","Frete grátis"
"From Date","A partir da data"
"General Information","Informação Geral"
"Generate","Gerar"
"ID","Id."
"If empty no separation.","Se estiver vazio não há separação."
"Inactive","Inativo"
"Labels","Etiquetas"
"Manage Coupon Codes","Gerenciar Códigos de Cupom"
"Maximum Qty Discount is Applied To","Desconto Máximo Quantidade é Aplicado Para"
"NOT FOUND","NÃO ENCONTRADO"
"NOT LOGGED IN","NÃO ESTÁ LOGADO"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem cupom"
"Number of Uses","Número de Usos"
"Numeric","Numérico"
"Payment Method","Forma de pagamento"
"Percent of product price discount","Percentagem do desconto do preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributos de produto"
"Products subselection","Sub-seleção de produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público No Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total de linha no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da regra"
"Rule is not defined","Regra não definida"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Shipping Country","País de Entrega"
"Shipping Method","Método de Entrega"
"Shipping Postcode","Código de Postal de Entrega"
"Shipping Region","Região de Entrega"
"Shipping State/Province","Região/Distrito de Entrega"
"Shopping Cart Price Rule","Regra de preço do carrinho de compras"
"Shopping Cart Price Rules","Regras de preço do carrinho de compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupom específico"
"Status","Situação"
"Store View Specific Labels","Etiquetas Específicas a Vistas de Loja"
"Subtotal","Sub-total"
"Subtotal Amount","Valor do subtotal"
"This rule no longer exists.","Esta regra não existe mais."
"Times Used","Número de usos"
"To Date","Para data"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade Total de Itens"
"Total Weight","Peso total"
"Update prices using the following information","Atualizar preços usando as seguintes informações"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Update the Product","Atualizar produto"
"Use Auto Generation","Usar Geração Automática"
"Used","Usado"
"Uses per Coupon","Usos por Cupom"
"Uses per Customer","Usos por cliente"
"Website","Site"
"Websites","Sites"
"Yes","Sim"
"total amount","montante total"
"total quantity","quantidade total"
