"Action","Ação"
"Are you sure you want to delete the selected backup(s)?","Você tem certeza que deseja excluir o(s) backup(s) selecionado(s)?"
"Create Backup","Criar Backup"
"Database","Banco de dados"
"Database Backup","Backup do banco de dados"
"Database and Media","Banco de dados e Mídia"
"Database and Media Backup","Backup do Banco de dados e Mídia"
"Database was successfuly backed up.","Backup do bancos de dados concluído com sucesso."
"Download","Fazer Download"
"Enable Scheduled Backup","Habilitar o Backup Agendado"
"Frequency","Frequência"
"Maintenance Mode","Modo de manutenção"
"Name","Nome"
"Rollback","Reversão"
"Start Time","Hora de Início"
"System","Sistema"
"System (excluding Media)","Sistema (excluindo Mídia)"
"System Backup","Backup do Sistema"
"Time","Tempo"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar backup. Por favor, tente novamente mais tarde."
