"Actions","Ações"
"Add Answer","Adicionar resposta"
"Add New Answer","Adicionar nova resposta"
"Add New Poll","Adicionar nova pesquisa"
"Answer Title","Título da resposta"
"Answer Title:","Título da resposta:"
"Answer with the same title in this poll","Resposta com o mesmo título nesta pesquisa"
"Are you sure you want to delete it?","Você tem certeza que deseja excluir-lo?"
"Assigned Answers","Respostas associadas"
"Closed","Fechado"
"Community Poll","Pesquisa da comunidade"
"Date Closed","Data de fechamento"
"Date Posted","Data de publicação"
"Delete","Excluir"
"Delete Answer","Excluir resposta"
"Delete Poll","Excluir pesquisa"
"Edit Answer '%s'","Editar resposta '%s'"
"Edit Poll '%s'","Editar pesquisa '%s'"
"Edit Poll Answer","Editar resposta da pesquisa"
"ID","Id."
"New Poll","Nova pesquisa"
"Number of Responses","Número de respostas"
"Open","Abrir"
"Poll Answers","Respostas da pesquisa"
"Poll Information","Informações de pesquisa"
"Poll Manager","Gerenciador de pesquisa"
"Poll Question","Questão de pesquisa"
"Poll information","Informações de pesquisa"
"Poll with the same question","Pesquisa com a mesma questão"
"Polls","Pesquisas"
"Save Answer","Salvar resposta"
"Save Poll","Salvar pesquisa"
"Status","Situação"
"Visible In","Visível em"
"Vote","Votar"
"Votes Count","Contagem de votos"
"Votes Count:","Contagem de votos:"
