"All Websites","Todos os sites"
"Display Prices In Emails","Mostrar Preços em E-mails"
"Display Prices In Product Lists","Mostrar Preços nas Listas de Produtos"
"Display Prices In Sales Modules","Mostrar Preços em Módulos de Vendas"
"Display Prices On Product View Page","Mostrar preços na página de visualização do produto"
"Enable FPT","Ativar Impostos Fixos de Produto"
"Excluding FPT","Excluir FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, descrição do FPT, preço final"
"Fixed Product Tax","Imposto Fixo do Produto"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Include FPT In Subtotal","Incluir IFP no Subtotal"
"Including FPT and FPT description","Incluindo descrição FPT e FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT e descrição do FPT [incl. FPT VAT]"
"Including FPT only","Incluindo apenas FPT"
"Total Incl. Tax","Total de impostos incluídos"
"Total incl. tax","Total incl. imposto"
