"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply","Aplicar"
"Apply Rules","Aplicar regras de"
"Attribute Set","Conjuntos de Atributo"
"By Fixed Amount","Por valor fixo"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de preço de catálogo"
"Catalog Price Rules","Regras de Preço de Catálogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Combinação de Condições"
"Customer Groups","Grupos de Cliente"
"Date Expire","Data de expiração"
"Date From","Data De"
"Date Start","Data de início"
"Date To","Data Até"
"Description","Descrição"
"Discount Amount","Quantidade do Desconto"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar regra '%s'"
"Expiration Date","Data de Validade"
"From Date","A partir da data"
"General Information","Informação Geral"
"ID","Id."
"Inactive","Inativo"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informações da Regra"
"Rule Name","Nome da regra"
"Save and Apply","Salvar e aplicar"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Start Date","Data de Início"
"Status","Situação"
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Para data"
"To Fixed Amount","Para quantidade fixa"
"Type","Tipo"
"Update product's %s %s: %s","Atualizar %s %s do produto: %s"
"Website","Site"
"Websites","Sites"
"Yes","Sim"
