"Add","Adicionar"
"Add New Role","Adicionar Nova Função"
"Address Type","Tipo de endereço"
"Admin","Administrador"
"Allow","Permitir"
"Assigned","Atribuído"
"Attribute Set","Conjuntos de Atributo"
"Attributes","Atributos"
"Automatically Return Credit Memo Item to Stock","Retornar automaticamente item de nota de crédito para o estoque"
"Back","Voltar"
"Backorders","Pedidos pendentes"
"Base Currency","Moeda base"
"Catalog","Catálogo"
"Category ID","ID da categoria"
"City","Cidade"
"Company","Empresa"
"Country","País"
"Coupon Code","Código do cupom"
"Create","Criar"
"Create Permanent Redirect for old URL","Criar redirecionamento permanente para a URL antiga"
"Customer","Cliente"
"Customer Address","Endereço do cliente"
"Customer First Name","Nome do cliente"
"Customer ID","ID do cliente"
"Customer Last Name","Sobrenome do cliente"
"Delete","Excluir"
"Deny","Negar"
"Discount","Desconto"
"Discount Amount","Quantidade do Desconto"
"Edit","Editar"
"Edit Role","Editar Função"
"Email","E-mail"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Exclude","Excluir"
"File Name","Nome do Arquivo"
"First Name","Nome"
"Gift Message","Mensagem do presente"
"Grand Total","Total geral"
"Grand Total to Be Charged","Valor total a cobrar"
"Group","Grupo"
"Guest","Visitante"
"ID","Id."
"Label","Título"
"Last Name","Sobrenome"
"Manage Stock","Gerenciar Estoque"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"New Role","Nova Permissão"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Order","Pedido"
"Order Comments","Comentários do pedido"
"Order Date","Data do Pedido"
"Order ID","ID do Pedido"
"Order Status","Situação do pedido"
"Orders","Pedidos"
"Original Price","Preço original"
"Payment Method","Forma de pagamento"
"Phone Number","Número do Telefone"
"Placed from IP","Efetuado do IP"
"Position","Posição"
"Price","Preço"
"Product","Produto"
"Product ID","Identificador do Produto"
"Product Type","Tipo do produto"
"Qty","Qtd"
"Qty Increments","Incrementos de Qtd"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Role Info","Informação de Permissão"
"Role Information","Informações de Acesso"
"Role Name","Nome da Permissão"
"Role Users","Permissões a Usuários"
"Roles","Permissões"
"SKU","Código de Produto:"
"Sales","Vendas"
"Save","Salvar"
"Shipping Amount","Valor do envio"
"Shipping Method","Método de Entrega"
"State","Estado"
"Stock Availability","Disponibilidade de Estoque"
"Stock Status","Status do Estoque"
"Store Name","Nome da loja"
"Street","Rua"
"Subtotal","Sub-total"
"System","Sistema"
"Tax Amount","Valor do imposto"
"Tax Percent","Porcentagem de imposto"
"Tax Rate","Taxa"
"Total Due","Total devido"
"Total Paid","Total pago"
"Total Refunded","Total reembolsado"
"Type","Tipo"
"URL","Url"
"Update","Atualizar"
"Web Services","Serviços web"
"Web services","Serviços web"
"ZIP/Postal Code","Código Postal"
