"%1$s incl tax.","%1$s incl imposto."
"* Required Fields","* Campos Obrigatórios"
"-- Select --","-- Selecionar --"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar seleção"
"As Low as","A Partir de"
"As low as","A partir de"
"Bundle Items","Itens do Pacote"
"Bundle Product","Pacote de produtos"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. impostos) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto cada"
"Checkbox","Caixa de seleção"
"Choose a selection...","Escolha uma seleção..."
"Click for price","Clique para precificar"
"Close","Fechar"
"Default","Padrão"
"Default Qty","Qtd Padrão"
"Default Title","Título padrão"
"Drop-down","Lista suspensa"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. imposto:"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem do presente"
"Incl. Tax","Imposto Incl."
"Incl. Tax:","Incl. imposto:"
"Input Type","Tipo de input"
"Is Required","É necessário"
"Message:","Mensagem:"
"Multiple Select","Múltipla Seleção"
"N/A","Não Disponível"
"No options of this product are available.","Não há opções deste produto estão disponíveis."
"None","Nenhum"
"Percent","Por cento"
"Percent Discount","Porcentagem de Desconto"
"Please Select Products to Add","Por favor, selecione produtos para adicionar"
"Please enter a number greater 0 in this field.","Por favor, insira um número maior que 0 neste campo."
"Please enter search conditions to view products.","Por favor, insira as condições de busca para visualizar os produtos."
"Please select options for product.","Por favor, selecione as opções para o produto."
"Please specify product option(s).","Por favor, especifique as opções do produto."
"Position","Posição"
"Price Range","Faixa de preço"
"Price Type","Tipo de preço"
"Price as configured","Preço conforme configurado"
"Qty:","Qtd:"
"Radio Buttons","Botões de radio"
"SKU","Código de Produto:"
"Separately","Separadamente"
"Ship Bundle Items","Envio dos itens do pacote de produtos"
"Shipment","Envio"
"Store View Title","Título da visão da loja"
"This product is also part of bundle(s)","Este produto também faz parte de pacote(s)"
"To","Até"
"To:","Para:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Use Default Value","Utilizar Valor Padrão"
"User Defined Qty","Quantidade definida pelo usuário"
"and","e"
"each","cada"
"save","salvar"
