"# of Uses","Número de usos"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Adicionar nova tag"
"Add Tags","Adicionar tags"
"Add Your Tags:","Adicionar suas tags:"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"All Tags","Todas tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Você tem certeza que deseja excluir esta tag?"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar para lista de tags"
"Block Information","Informação do Bloco"
"Change status","Alterar status"
"Click on a tag to view your corresponding products.","Clique na tag para visualizar seus produtos correspondentes."
"Country","País"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Tagged '%s'","Clientes tagged '%s'"
"Delete","Excluir"
"Delete Tag","Excluir tag"
"Disabled","Desabilitado"
"Edit Tag '%s'","Editar tag '%s'"
"Email","E-mail"
"First Name","Nome"
"General Information","Informação Geral"
"Grid","Grade"
"ID","Id."
"Last Name","Sobrenome"
"List","Lista"
"My Recent Tags","Minhas tags recentes"
"My Tags","Minhas tags"
"Name","Nome"
"New Tag","Nova tag"
"No matches found.","Nenhum resultado encontrado."
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com as seguintes tags:"
"Pending","Pendente"
"Pending Tags","Tags pendentes"
"Popular Tags","Tags populares"
"Price","Preço"
"Product Name","Nome do produto"
"Product SKU","ID do produto"
"Product Tags","Tags do produto"
"Products","Produtos"
"Products Tagged with '%s'","Produtos tagged com '%s'"
"Products tagged with '%s'","Produtos tagged com '%s'"
"Remove","Remover"
"SKU","Código de Produto:"
"Save Tag","Salvar tag"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Status","Situação"
"Store View","Visão de Loja"
"Tag Name","Nome da tag"
"Tags","Marcadores"
"Telephone","Telefone"
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar produtos com a tag '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não foi possível excluir tag. Por favor, tente novamente mais tarde."
"Update","Atualizar"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar tags. Use aspas simples (') para frases."
"View All Tags","Ver todas tags"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"You have not tagged any products yet.","Você não adicionou tag em nenhum produto ainda."
"ZIP/Post Code","Código postal / CEP"
"[STORE VIEW]","[VISÃO DE LOJA]"
