"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> foram encontrados usando o seguinte critério de busca"
"Advanced Search","Pesquisa Avançada"
"All","Todos"
"Catalog Advanced Search","Busca Avançada do Catálogo"
"Catalog Search","Busca de Catálogo"
"Don't see what you're looking for?","Não achou o que você está procurando?"
"Go","Ir"
"Go to Home Page","Ir para a página inicial"
"Grid","Grade"
"Home","Início"
"List","Lista"
"Maximum Query Length","Comprimento Máximo da Pesquisa"
"Maximum Query Words Count","Contagem máxima de palavras da query"
"Minimal Query Length","Comprimento Mínimo da Pesquisa"
"Modify your search","Modifique sua busca"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando os seguintes critérios de busca."
"Popular Search Terms","Pesquisas Populares"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa para texto do produto"
"Relevance","Relevância"
"Results","Resultados"
"Search","Pesquisa"
"Search Settings","Configurações de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de busca"
"Search entire store here...","Pesquisa em toda loja..."
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Subscribe to Feed","Assinar Feed"
"There are no search terms available.","Não há nenhum termo de pesquisa disponível."
"Yes","Sim"
"Your search returns no results.","Sua busca não retornou resultados."
"up to %s","até %s"
