"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tarefas agendadas) – todos os horários são em minutos"
"Daily","Diário"
"Failure History Lifetime","Tempo de vida do Histórico de Falhas"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para gerar os URLs corretamente durante execuções da cron, por favor, tenha certeza que os URLs Web > seguro e não-seguro estão configurados corretamente."
"Generate Schedules Every","Gerar Agendamentos A Cada"
"History Cleanup Every","Limpar Histórico A Cada"
"Hourly","Horal"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição modelo/método inválido, esperando ""model/class::method""."
"Minute Intervals","Intervalos de minuto"
"Missed if Not Run Within","Falha se não for executado dentro de"
"Monthly","Mensal"
"No callbacks found","Nenhum callback encontrado"
"Schedule Ahead for","Agendar antecipadamente para"
"Success History Lifetime","Tempo de vida do Histórico de Sucesso"
"Unable to delete the cron task.","Habilitar para deletar a tarefa da cron."
"Weekly","Semanal"
