"ALL","TODOS"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s destas condições são %s:"
"Invalid discount amount.","Quantia de desconto inválida"
"Open Chooser","Abrir Seletor"
"Perform following actions","Executar a sequência de ações"
"Please choose a condition to add...","Por favor, escolha uma condição para adicionar..."
"Please choose an action to add...","Por favor, escolha uma ação para adicionar..."
"Remove","Remover"
"TRUE","VERDADEIRO"
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contém"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"for","para"
"for greater than","por maior que"
"for or greater than","para ou superior a"
"found","encontrados"
"from","de"
"greater than","maior do que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menos que"
"not found","não encontrado"
"not from","não é de"
"to","para"
"was","era"
"was not","não era"
