"# of Uses","# gange brugt"
"Action","Handling"
"Add","Tilføj"
"Add New Tag","Tilføj nyt tag"
"Add Tags","Tilføj tags"
"Add Your Tags:","Tilføje dine tags:"
"Add to Cart","Læg i kurv"
"Add to Wishlist","Føj til ønskeliste"
"All Tags","Alle tags"
"Approved","Godkendt"
"Are you sure you want to delete this tag?","Er du sikker på, at dette tag skal slettes?"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Are you sure?","Er du sikker?"
"Back","Tilbage"
"Back to Tags List","Tilbage til tag-liste"
"Block Information","Blok oplysninger"
"Change status","Ændre status"
"Click on a tag to view your corresponding products.","Klik på et tag for at se alle produkter markeret med det tag"
"Country","Land"
"Customer Since","Kunde siden"
"Customers","Kunder"
"Customers Tagged '%s'","Kunder taggede '%s'"
"Delete","Slet"
"Delete Tag","Slet tag"
"Disabled","Slået fra"
"Edit Tag '%s'","Rediger tag '%s'"
"Email","E-mail"
"First Name","Fornavn"
"General Information","Generelle informationer"
"Grid","Gitter"
"Last Name","Efternavn"
"List","Liste"
"My Recent Tags","Mine seneste tags:"
"My Tags","Mine tags"
"Name","Navn"
"New Tag","Nyt tag"
"No matches found.","Der er ingen produkter med det tag/disse tags"
"Other people marked this product with these tags:","Andre har givet produktet disse tags:"
"Pending","Afventer"
"Pending Tags","Manglende godkendelse"
"Popular","Populære produkter"
"Popular Tags","Populære tags"
"Price","Pris"
"Product Name","Produktnavn"
"Product SKU","Produktets varenummer"
"Product Tags","Produkt-tags"
"Products","Produkter"
"Products Tagged with '%s'","Produkter tagget med '%s'"
"Products tagged with '%s'","Produkter tagget med '%s'"
"Remove","Fjern"
"SKU","Varenummer"
"Save Tag","Gem tag"
"Save and Continue Edit","Gem og fortsæt redigering"
"Store View","Butiksvisning"
"Tag Name","Navn"
"Telephone","Telefonnummer"
"Unable to find any products tagged with '%s' in the current store","Kunne ikke finde nogen produkter tagget med '%s' i denne butik"
"Unable to remove tag. Please, try again later.","Kunne ikke fjerne tag. Prøv venligst igen senere."
"Update","Opdater"
"Use spaces to separate tags. Use single quotes (') for phrases.","Brug mellemrum til at adskille tags. Brug apostroffer (') til flere ord i ét tag."
"View All Tags","Vis alle tags"
"View Customers","Vis kunder"
"View Products","Vis produkter"
"You have not tagged any products yet.","Du har ikke tildelt tags til nogen produkter"
"ZIP/Post Code","ZIP/Postnr"
"[STORE VIEW]","[BUTIK VISNING]"
