"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"* Required Fields","* Påkrævede felter"
"-- Please Select --","-- Vælg venligst --"
"A group with the same name already exists.","Der findes allerede en gruppe med samme navn."
"A name is required","Navn skal udfyldes"
"A product type is not defined for the indexer.","En produkttype er ikke defineret ud fra indexer."
"ALL GROUPS","ALLE GRUPPER"
"Action","Handling"
"Add","Tilføj"
"Add Attribute","Tilføj egenskab"
"Add Design Change","Tilføj designændringer"
"Add Group","Tilføj gruppe"
"Add New","Tilføj Ny"
"Add New Attribute","Tilføj ny attribut"
"Add New Attribute Set","Tilføj nyt set egenskaber"
"Add New Group","Tilføj ny gruppe"
"Add New Images","Tilføj Nyt Billede"
"Add New Option","Tilføje nye indstilling"
"Add New Row","Tilføj ny række"
"Add New Search Term","Tilføj nye søgninger"
"Add New Set","Tilføjt nyt sæt"
"Add Product","Tilføj produkt"
"Add Product To Websites","Tilføj produktet til hjemmesiden"
"Add Root Category","Tilføje rod kategori"
"Add Subcategory","Tilføj underkategori"
"Add Tax","Tilføje moms"
"Add Tier","Tilføj interval"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Føj til ønskeliste"
"Additional Information","Yderligere information"
"All","Alle"
"All Product Types","Alle produkt typer"
"All Websites","Alle Websites"
"All products","Alle produkter"
"All products - recently added products, New products - products marked as new","Alle produkter - for nylig tilføjet produkter, nye produkter - produkter mærket som nyheder"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle produkter med dette sæt vil blive slettet! Er du sikker på at du vil slette dette egenskabssæt?"
"Allow All Products per Page","Tillad alle produkter pr. side"
"Amount","Beløb"
"Apply To","Anvend for"
"Approved","Godkendt"
"Are you sure you want to delete this category?","Er du sikker på, at kategorien skal slettes?"
"Are you sure you would like to remove all products from your comparison?","Er du sikker på at du vil fjerne alle produkter fra din sammenligning?"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne denne vare fra sammenligningen?"
"Are you sure?","Er du sikker?"
"As low as:","Ned til:"
"Assign","Tildel"
"Assign product link","Tildel produktlink"
"Assign product to category","Tilknyt produkt til kategori"
"Assigned Products","Tilknyttede produkter"
"Associated Products","Associerede kontakter"
"Attrib. Set Name","Sæt af egenskaber"
"Attribute Information","Atribut information"
"Attribute Model","Egenskabsmodel"
"Attribute Name:","Navn:"
"Attribute Set","Attributssæt"
"Attribute Sets","Egenskabs sæt"
"Attribute group with the ""/name/"" name already exists","Der eksisterer allerede en egenskabsgruppe med navnet ""/name/"""
"Attribute with the same code already exists","Egenskab med samme kode findes allerede"
"Attributes","Attributter"
"Attrribute names can be specified per store.","Egenskabsnavne kan specificeres for hver butik"
"Autogenerate","Autogenerer"
"Availability:","Tilgængelighed:"
"Back","Tilbage"
"Backend Model","Model (backend)"
"Backend Table","Tabel (backend)"
"Backend Table Title","Tabeltitel (backend)"
"Backorders","Restordrer"
"Based On","Baseret på"
"Best Value","Bedste køb"
"Block after Info Column","Blok efter infosøjle"
"Bottom/Left","Bund/venstre"
"Bottom/Right","Bund/Højre"
"Browse By","Vis efter"
"Bundle Items","Pakkeprodukter"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) pr. styk"
"Buy %1$s for %2$s each","Køb %1$s for %2$s pr. stk."
"Cache Lifetime (Seconds)","Datacachens levetid (sekunder)"
"Can be used only with catalog input type Dropdown","Kan kun bruges som drop-down-felt"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun blive brugt ved katalog input type Dropdown, flere valg og pris"
"Can't create image.","Kan ikke oprette billede."
"Cancel","Annuller"
"Cart Item Attribute","Egenskab for vare i kurv"
"Catalog","Katalog"
"Catalog New Products List","Katalogliste nye produkter"
"Catalog Price Scope","Katalog pris anvendelsesområde"
"Catalog, Search","Katalog, Søg"
"Categories","Kategorier"
"Categories Sitemap","Sitemap for kategorier"
"Category","Kategori"
"Category API","Kategori-API"
"Category Data","Kategori - detaljer"
"Category Flat Data","Flade kategoridata"
"Category Products","Kategori produkter"
"Category Top Navigation","Kategori top navigation"
"Category URL Suffix","Kategori URL suffiks"
"Category attributes API","Kategoriegenskabs-API"
"Category move error","Fejl - kategorien kunne ikke flyttes"
"Change","Skift"
"Change or Retrieve attribute store view","Rediger eller hent forretningsvisning for egenskab"
"Change status","Ændre status"
"Check items to add to the cart or","Vælg varer som skal lægges i indkøbskurven eller"
"Choose an Option...","Vælg venligst..."
"Clear All","Fjern alle"
"Clear Price","Slet prisen"
"Click for price","Klik for pris"
"Close Window","Luk vindue"
"Collapse All","Skjul alle"
"Comma-separated.","Komma adskilt."
"Comparable","Sammenlignelige"
"Comparable on Front-end","Kan sammenlignes"
"Compare","Sammenlign"
"Compare Products","Sammenlign produkter"
"Conditions Combination","Betingelses kombination"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Konfigurerbare produktindstillinger"
"Configure Product","Konfigurer produktet"
"Continue","Fortsæt"
"Copy From Configurable","Kopier fra konfigurerbar"
"Country/State","Land/stat"
"Create","Opret"
"Create (Upload)","Opret (upload)"
"Create Empty","Opret tom"
"Create Permanent Redirect for URLs if URL Key Changed","Opret Permanent omdirigering for webadresser hvis URL-nøglen ændres"
"Create Permanent Redirect for old URL","Opret Permanent omdirigering til gamle URL"
"Create Product Settings","Opret produktindstillinger"
"Create Simple Associated Product","Opret simpelt tilknyttet produkt"
"Create new category","Opret ny kategori"
"Create new product","Opret nyt produkt"
"Cross-sells","Kryds-salg"
"Custom Design","Brugerdefineret Design"
"Custom Options","Brugerdefinerede indstillinger"
"Customer Group","Kundegruppe"
"Customers Reviews","Kunders bedømmelser"
"Customers Tagged Product","Kunder, der har tagget produktet (antal)"
"Data Type for Saving in Database","Arkiverings data type i Database"
"Date & Time Custom Options","Dato & tid brugerdefinerede indstillinger"
"Date Subscribed","Dato tilmeldt"
"Datetime","DatoTid"
"Declare attribute value saving scope","Angiv området, hvor egenskabens værdi gemmes"
"Default ""What's This"" Text Message","Standard ""Hvad er dette"" tekstbesked"
"Default Price","Standardpris"
"Default Qty","Standard antal"
"Default Values","Standardværdi"
"Delete","Slet"
"Delete Attribute","Slet attributten"
"Delete Attribute Set","Slet sæt"
"Delete Category","Slet kategori"
"Delete Option","Slet mulighed"
"Delete Row","Slet række"
"Delete Search","Slet søgning"
"Delete Selected Group","Slet valgt gruppe"
"Delete category","Slet kategori"
"Delete product","Slet produkt"
"Description","Beskrivelse"
"Details","Detaljer"
"Disabled","Slået fra"
"Display Page Control","Vis sidevisning"
"Display Type","Visningstype"
"Display in Suggested Terms","Vis i foreslået udtryk"
"Double click on a group to rename it","Dobbeltklik på en gruppe for at omdøbe den"
"Double click on above image to view full picture","Dobbeltklik på ovenstående billede for at se i fuld størrelse"
"Downloadable Information","Virtuel information"
"Duplicate","Duplikér"
"Duplicate website tier price customer group and quantity.","Dupliker website pristrin kundegruppe og antal"
"Duplicate website, country and state tax found.","Dupliker website, land og fundet statsmoms."
"Edit","Redigér"
"Edit Attribute Set '%s'","Rediger egenskabssæt '%s'"
"Edit Product Attribute","Redigere produkt attribut"
"Edit Product Attribute ""%s""","Rediger produktegenskaben ""%s"""
"Edit Search","Rediger søgning"
"Edit Search '%s'","Rediger søgning '%s'"
"Email","E-mail"
"Email to a Friend","Mail til en ven"
