"--Please Select--","--Vælg--"
"API Login ID","API Login-ID"
"Accepted Currency","Accepteret valuta"
"Authorize.net Direct Post","Authorize.net direkte Post"
"Card Verification Number","Kortnummer verifikation"
"Card Verification Number Visual Reference","Kort Verificering Tal Visuel Reference"
"Close","Luk"
"Credit Card Information","Kreditkortoplysninger"
"Credit Card Number","Kreditkortnummer"
"Credit Card Type","Kreditkorttype"
"Credit Card Types","Kreditkorttyper"
"Credit Card Verification","Kreditkort verifikation"
"Debug","Fejlsøgning"
"Email Customer","E-mail til kunde"
"Enabled","Aktiveret"
"Expiration Date","Udløbsdato"
"Maximum Order Total","Maksimumsordre i alt"
"Merchant MD5","Sælger MD5"
"Merchant's Email","Shopejers e-mail"
"Minimum Order Total","Minimumsordre i alt"
"New Order Status","Nye ordrestatus"
"Order saving error: %s","Ordren kunne ikke gemmes. Fejl: %s"
"Payment Action","Betalingshandling"
"Payment authorization error.","Betalingsgodkendelsesfejl."
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra bestemte lande"
"Sort Order","Sorteringsrækkefølge"
"Test Mode","Testtilstand"
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"What is this?","Hvad er dette?"
