"-- Please Select --","-- Vælg venligst --"
"Add New Class","Tilføj ny gruppe"
"Add New Tax Rate","Tilføj ny momssats"
"Add New Tax Rule","Tilføj ny momsregel"
"After Discount","Efter rabat"
"Apply Discount On Prices","Anvende rabat på priserne"
"Apply Tax On","Beregn moms på"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Back","Tilbage"
"Before Discount","Før rabat"
"Class Name","Navn"
"Code","Kode"
"Country","Land"
"Custom price if available","Tilpasset pris hvis tilgængelig"
"Customer Tax Class","Momsgruppe for kunder"
"Customer Tax Class Information","Gruppe - detaljer"
"Customer Tax Classes","Momsgrupper (kunder)"
"Default Country","Standard Land"
"Default Post Code","Standard-postnummer"
"Default State","Standardstat"
"Delete Class","Slet gruppe"
"Delete Rate","Slet momssats"
"Delete Rule","Slet reglen"
"Display Shipping Prices","Vis leveringspriser"
"Display Zero Tax Subtotal","Vis moms-subtotal på nul"
"Edit Class","Rediger gruppe"
"Edit Class '%s'","Rediger gruppe '%s'"
"Edit Rule","Rediger regel"
"Edit Tax Rate","Rediger momssats"
"Excl. Tax","Ekskl. moms"
"Excl. Tax:","Ekskl. moms:"
"Excluding Tax","Uden moms"
"Export Tax Rates","Eksporter momssatser"
"Grand Total (Excl. Tax)","Total (ekskl. moms)"
"Grand Total (Excl.Tax)","Total (ekskl. moms)"
"Grand Total (Incl. Tax)","Total (inkl. moms)"
"Grand Total (Incl.Tax)","Total (inkl. moms)"
"Grand Total Excl. Tax","Total ekskl. moms"
"Grand Total Incl. Tax","Total inkl. moms"
"Import / Export Tax Rates","Importer/eksporter momssatser"
"Import Tax Rates","Importer momssatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl. moms:"
"Including Tax","Inklusiv moms"
"Including and Excluding Tax","Inklusiv og eksklusiv moms"
"Invalid file format upload attempt","Ugyldigt filformat"
"Invalid file upload attempt","Filformatet understøttes ikke"
"Name","Navn"
"New Class","Ny gruppe"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"No","Nej"
"None","Ingen"
"One of the country has invalid code.","En af landene har en ugyldig kode."
"Original price only","Kun originalpris"
"Priority","Prioritet"
"Product Tax Class","Momsgruppe for produkter"
"Product Tax Class Information","Gruppe - detaljer"
"Product Tax Classes","Momsgrupper (produkter)"
"Range To","Span til"
"Rate","Bedøm"
"Reset","Nulstil"
"Row Total","Rækketotal"
"Sales","Salg"
"Save Class","Gem gruppe"
"Save Rate","Gem momssats"
"Save Rule","Gem regel"
"Save and Continue Edit","Gem og fortsæt redigering"
"Shipping & Handling (Excl.Tax)","Levering & håndtering (ekskl.moms)"
"Shipping & Handling (Incl.Tax)","Levering & håndtering (inkl. moms)"
"Shipping (Excl. Tax)","Levering (ekskl. moms)"
"Shipping (Incl. Tax)","Levering (inkl. moms)"
"Sort Order","Sorteringsrækkefølge"
"State","Stat"
"State/Region","Stat/Region"
"Subtotal (Excl. Tax)","Subtotal (Ekskl. moms)"
"Subtotal (Excl.Tax)","Subtotal (ekskl. moms)"
"Subtotal (Incl. Tax)","Subtotal (inkl. moms)"
"Subtotal (Incl.Tax)","Subtotal (inkl. moms)"
"Tax","Moms"
"Tax Calculation Based On","Moms Beregning Baseret På"
"Tax Class for Shipping","Momsklasse for levering"
"Tax Classes","Momsklasser"
"Tax Identifier","Moms-ID"
"Tax Rate","Momssats"
"Tax Rate Information","Momssats - detaljer"
"Tax Rule Information","Momsregel - detaljer"
"Tax Rules","Moms regler"
"Tax Titles","Momstitler"
"Tax rates at the same priority are added, others are compounded.","Momssatser med samme prioritet adderes, andre sammensættes."
"This class no longer exists","Denne klasse findes ikke længere"
"This rule no longer exists","Denne regel eksisterer ikke længere"
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"Total","I alt"
"Unit Price","Enhedspris"
"Yes","Ja"
"You cannot delete this tax class as it is used for %d customer groups.","Momsgruppe kunne ikke slettes. Den bruges i %d kundegrupper."
"You cannot delete this tax class as it is used for %d products.","Momsgruppe kunne ikke slettes. Den er i brug på %d produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Momsgruppe kunne ikke slettes. Den bruges i momsreglerne. Slet venligst først de regler som anvender denne gruppe først og prøv så igen."
"Zip/Post Code","Postnummer"
