"Action","Handling"
"Are you sure you want to delete the selected backup(s)?","Er du sikker på du vil slette de markerede backup(s)?"
"Backups","Sikkerhedskopier"
"Create Backup","Opret backup"
"Database and Media","Database og Medie"
"Database and Media Backup","Database og Medie Backup"
"Database was successfuly backed up.","Database blev sikkerhedskopieret."
"Download"," Download"
"Enable Scheduled Backup","Aktivere planlagt backup"
"Frequency","Hyppighed"
"Maintenance Mode","Vedligeholdelsestilstand"
"Name","Navn"
"Rollback","Tilbage"
"Start Time","Starttidspunkt"
"System (excluding Media)","Systen (excl. Medie)"
"System Backup","System backup"
"Time","Tid"
"Unable to create backup. Please, try again later.","Kan ikke lave backup. Prøv igen senere."
