"Add Option","Tilføj valgmulighed"
"Attempt to add an invalid object","Forsøg på at tilføje et ugyldigt objekt"
"Attribute Code","Attribut kode"
"Attribute Label","Attribut etiket"
"Attribute Properties","Egenskaber for attribut"
"Attribute object is undefined","Attribut objekt er udefineret"
"Attribute with the same code","Egenskab med samme kode"
"Catalog Input Type for Store Owner","Katalog input type for forretningsejer"
"Data integrity: No header row found for attribute","Data-integritet: Hovedrække blev ikke fundet for egenskaben"
"Date","Dato"
"Decimal Number","Decimaltal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standard produkt liste sortering, findes ikke i den tilgængelige Produkt Liste sorteret efter."
"Default Value","Standardværdi"
"Default option value is not defined","Standardværdi skal angives"
"Delete","Slet"
"Dropdown","Drop-down"
"Email","E-mail"
"Entity is not initialized","Enhed kunne ikke initialiseres"
"Frontend label is not defined","Frontendlabel ikke defineret"
"Input Validation for Store Owner","Input validering for butiksejeren"
"Integer Number","Heltal"
"Invalid attribute name: %s","Ugyldigt egenskabsnavn: %s"
"Invalid attribute requested: %s","Ugyldig egenskab: %s"
"Invalid attribute type","Ugyldig egenskabstype"
"Invalid character encountered in increment ID: %s","Ugyldig karakter fundet i id: %s"
"Invalid date","Ugyldig dato"
"Invalid entity specified","Ugyldig enhed"
"Invalid entity supplied: %s","Ugyldig enhed: %s"
"Invalid entity type","Ugyldig enhedstype"
"Invalid entity_type specified: %s","Ugyldig enhedstype: %s"
"Invalid foreign key","Ugyldig fremmednøgle"
"Invalid store specified","Ugyldig butik specificeret"
"Joined field with this alias is already declared","Alias er allerede brug"
"Letters","Breve"
"Loaded %d records","Indlæste %d optegnelser"
"Multiple Select","Marker flere"
"No","Nej"
"No options found in config node %s","Ingen muligheder fundet i konfigurationspunktet %s"
"None","Ingen"
"Not shared with other products","Ikke delt med andre produkter"
"Problem loading the collection, aborting. Error: %s","Kunne ikke indlæse listen, afbryder. Fejl: %s"
"Problem saving the collection, aborting. Error: %s","Listen kunne ikke gemmes, afbryder. Fejl: %s"
"Required","Påkrævet"
"Text Area","Tekstområde"
"Text Field","Tekstfelt"
"Unique Value","Unik værdi"
"Unique Value (not shared with other products)","Unik værdi (ikke delt med andre produkter)"
"Unknown parameter","Ukendt parameter"
"Values Required","Skal udfyldes"
"Wrong attribute group ID","Forkert id for egenskabsgruppe"
"Wrong attribute set ID","Forket id for sæt af egenskaber"
"Wrong entity ID","Forkert enheds-id"
"Yes","Ja"
"Yes/No","Ja/Nej"
