"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj ny regel"
"Apply","Anvend"
"Apply Rules","Anvende regler"
"Attribute Set","Attributssæt"
"By Fixed Amount","Rabat som fast beløb"
"Catalog","Katalog"
"Catalog Price Rule","Katalog pris regel"
"Catalog Price Rules","Katalog pris regler"
"Category","Kategori"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Betingelser (udfyld ikke for produkter)"
"Conditions Combination","Betingelses kombination"
"Customer Groups","Kundegrupper"
"Date Expire","Udløbsdato"
"Date From","Dato fra"
"Date Start","Startdato"
"Date To","Dato til"
"Description","Beskrivelse"
"Discount Amount","Rabatbeløb"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Rediger regel '%s'"
"Expiration Date","Udløbsdato"
"From Date","Startdato"
"General Information","Generelle informationer"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nej"
"Options","Valgmuligheder"
"Priority","Prioritet"
"Product Attribute","Produkt attribut"
"Promotions","Kampagner"
"Rule Information","Regel - detaljer"
"Rule Name","Regelnavn"
"Save and Apply","Gem og anvend"
"Save and Continue Edit","Gem og fortsæt redigering"
"Start Date","Start dato"
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"To Date","Udløbsdato"
"To Fixed Amount","Pris som fast beløb"
"Update product's %s %s: %s","Opdater produkter %s %s: %s"
"Website","Hjemmeside"
"Websites","Hjemmesider"
"Yes","Ja"
