"Add","Tilføj"
"Add New Row","Tilføj ny række"
"An error occurred while saving the file(s).","Der opstod en fejl ved lagring af fil(erne)."
"Availability:","Tilgængelighed:"
"Back","Tilbage"
"Canceled","Annulleret"
"Category API","Kategori-API"
"Date","Dato"
"Default Link Title","Standardlinktitel"
"Default Maximum Number of Downloads","Standardantal maksimale downloads"
"Default Sample Title","Standardprøvetitel"
"Delete","Slet"
"Downloadable Information","Virtuel information"
"Downloadable Product","Virtuelt produkt"
"Downloadable Product Options","Muligheder for virtuelt produkt"
"Edit","Redigér"
"Edit item parameters","Rediger vare indstillinger"
"Excl. Tax","Ekskl. moms"
"File","Fil"
"From:","Fra:"
"Gift Message","Gavebesked"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine virtuelle produkter</a>"
"In stock","På lager"
"Incl. Tax","Inkl. moms"
"Invoiced","Faktureret"
"Links can be purchased separately","Links kan købes separat"
"List","Liste"
"Max. Downloads","Max. downloads"
"Message:","Besked:"
"Move","Flyt"
"My Downloadable Products","Downloadede produkter"
"Open Links in New Window","Åbn link i nyt vindue"
"Order #","Ordre #"
"Ordered","Bestilt"
"Out of stock","Udsolgt"
"Pending","Afventer"
"Please log in to download your product.","Log ind for at downloade dit produkt."
"Please specify product link(s).","Angiv venligst produktlink(s)."
"Price","Pris"
"Qty","Antal"
"Refunded","Refunderet"
"Remaining Downloads","Resterende Downloads"
"Remove","Fjern"
"Remove Item","Fjern vare"
"SKU","Varenummer"
"Sample","Eksempel"
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"Shareable","Delbart"
"Shipped","Afsendt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Der opstod en fejl under hentning af ønskede indhold. Kontakt venligst butiksejeren."
"Sort Order","Sorteringsrækkefølge"
"Start Download","Start download"
"The link has expired.","Linket er udløbet."
"The link is not available.","Linket er ikke tilgængelig."
"Title","Titel"
"To:","Til:"
"Unlimited","Ubegrænset"
"Update","Opdater"
"Use Default Value","Brug standardværdi"
"View Order","Vis ordre"
"What's this?","Hvad er dette?"
"You have not purchased any downloadable products yet.","Du har ikke købt nogen produkter til download endnu."
"attachment","vedhæftet fil"
"sample","eksempel"
