"Abandoned carts","Efterladte kurve"
"Action","Handling"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Føj til ønskeliste"
"Any","Enhver"
"Applied Coupon","Rabatkode anvendt"
"Are you sure?","Er du sikker?"
"Bestsellers","Bestsellere"
"Bought from wishlists","Købt fra ønskesedler"
"Carts","Indkøbskurve"
"Coupons","Rabatkoder"
"Created At","Oprettet den"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customer Tags","Kundetags"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kunders bedømmelser"
"Customers Tags","Kunders tags"
"Customers by number of orders","Kunder efter antal af ordre"
"Customers by orders total","Kunder efter total ordre"
"Customers that have wishlist: %s%","Kunder med ønskeseddel: %s%"
"Dashboard","Instrumentbræt"
"Day","Dag"
"Description","Beskrivelse"
"Detail","Detalje"
"Email","E-mail"
"Filter","Filtrer"
"First Name","Fornavn"
"From","Fra"
"General","Generelt"
"Guest","Gæst"
"IP Address","IP-adresse"
"Invoiced","Faktureret"
"Items in Cart","varer i indkøbskurven"
"Last Name","Efternavn"
"Last Review","Sidste bedømmelse"
"Link","Forbind"
"Low stock","Lav beholdning"
"Month","Måned"
"Most Viewed","Mest viste"
"Name","Navn"
"New Accounts","Nye konti"
"No","Nej"
"Number Added","Antal tilføjet"
"Number Fulfilled","Antal gennemført"
"Number Of Reviews","Antal bedømmelser"
"Number Purchased","Antal varer købt"
"Number Viewed","Antal visninger"
"Number of Items","Antal varer"
"Number of New Accounts","Antal nye konti"
"Number of Products to display","Antallet af produkter som vises"
"Number of Reviews","Antal bedømmelser"
"Number of Total Tags","Antal tags i alt"
"Number of Unique Tags","Antal unikke tags"
"Number of Views","Antal visninger"
"Number of items bought from a wishlist: %s","Antal varer købt fra en ønskeseddel: %s"
"Number of times wishlists have been shared (emailed): %s","Antal gange ønskesedler er blevet delt (pr. e-mail): %s"
"Number of wishlist conversions: %s","Antal ønskeseddelskonverteringer: %s"
"Number of wishlist referrals: %s","Antal ønskesedler produktet står på: %s"
"Number of wishlists: %s","Antal ønskesedler: %s"
"Order Status","Ordrestatus"
"Orders","Ordrer"
"Out of stock","Udsolgt"
"Period","Periode"
"Poducts Report","Produkter"
"Popular Tags","Populære tags"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktanmeldelser"
"Product SKU","Produktets varenummer"
"Product Tags","Produkt-tags"
"Products","Produkter"
"Products Report","Produkter"
"Products Reviews","Produkters bedømmelser"
"Products Tags","Produkters tags"
"Products in carts","Produkter i indkøbskurven"
"Purchases","Køb"
"Quantity Ordered","Antal bestilt"
"Quantity of Items","Antal varer"
"Recently Compared","Nyligt sammenlignet"
"Recently Compared Products","For nyligt sammenlignede produkter"
"Recently Viewed","Senest viste"
"Recently Viewed Products","Nyligt viste produkter"
"Recently Viewed/Compared Products","Seneste viste/sammenlignede produkter"
"Refunds","Refunderinger"
"Report","Rapporter"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Indtægter"
"Review","Anmeldelse"
"Reviews","Anmeldelser"
"Reviews for %s","Anmeldelser af %s"
"Sales","Salg"
"Sales Report","Salg"
"Search Query","Søgning"
"Search Terms","Søgeord"
"Shipping","Levering"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Price Rule","Prisregel for indkøbskurv"
"Show Actual Values","Vis faktiske værdier"
"Show for Current","Vis for nuværende"
"Specified","Angivet"
"Stock Qty","Lagerbeholdning"
"Submitted In","Indsendt fra"
"Submitted On","Indsendt d."
"Tag ""%s"" details","Detaljer for tag ""%s"""
"Tag Detail","Tag - detaljer"
"Tag Name","Navn"
"Tags submitted to %s","Tags oprettet for %s"
"Tax","Moms"
"Title","Titel"
"To","Til"
"Total","I alt"
"Total Tags","Antal tags (total)"
"Total invoiced","Total faktureret"
"Total refunded","Total tilbagebetalt"
"Updated At","Opdateret d."
"Viewed Products Grid Template","Viste produkter gitterskabelon"
"Viewed Products List Template","Viste produkter listeskabelon"
"Visible In","Synlig i"
"Wishlist Report","Ønskesedler"
"Wishlist vs. Regular Order","Ønskeseddel vs. alm. ordre"
"Wishlists","Ønskesedler"
"Year","År"
"Yes","Ja"
"Your Recently Compared","Varer du senest har sammelignet"
"Your Recently Viewed","Varer du senest har set på"
