"-- Please select --","-- Vælg venligst --"
"API Key","API-nøgle"
"Continue &raquo;","Fortsæt &raquo;"
"Country","Land"
"Country and Format Type combination should be unique","Kombination af land og formattype skal være unik"
"Currency","Valuta"
"Currency Options","Valuta (indstillinger)"
"Currency Setup","Valutaopsætning"
"Currency Update Warnings","Advarsler ved valutaopdatering"
"Directory","Register"
"Enabled","Aktiveret"
"Error Email Recipient","Fejl: e-mailmodtager"
"Error Email Sender","Fejl: e-mailafsender"
"Error Email Template","Fejl: e-mailskabelon"
"FATAL ERROR:","FATAL FEJL:"
"Frequency","Hyppighed"
"Installed Currencies","Installerede valutaer"
"Invalid country code: %s","Ugyldig landekode: %s"
"Invalid rates received","Ugyldige kurser blev modtaget"
"List of countries","Landeliste"
"List of regions in specified country","Liste over regioner i landet"
"Scheduled Import Settings","Planlagt import (indstillinger)"
"Select Your Currency","Vælg valuta"
"Service","Tjeneste"
"Start Time","Starttidspunkt"
"State/Province","Stat eller Region"
"Strikeiron Email Update Warnings","Strikeiron e-mail til opdateringsadvarsler"
"WARNING:","ADVARSEL:"
"Your current currency is: %s","Nuværende valuta: %s"
