"(Excl. Tax)","(Ekskl. moms)"
"(Incl. Tax)","(Inkl. moms)"
"* Required Fields","* Påkrævede felter"
"Add New Address","Tilføj ny adresse"
"Add New Condition","Tilføj ny betingelse"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Føj til ønskeliste"
"Address","Adresse"
"Address %s of %s","Adresse %s af %s"
"After Adding a Product Redirect to Shopping Cart","Efter tilføjelse af et produkt omdiriger til indkøbskurv"
"Allow Guest Checkout","Tillad gæste checkout"
"Already registered?","Allerede oprettet?"
"An error occurred in the process of payment","En fejl opstod ved behandling af betalingen"
"Apply","Anvend"
"Apply Coupon","Anvend rabatkode"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på du ønsker at fjerne denne vare fra indkøbskurven?"
"Back","Tilbage"
"Back to Billing Information","Tilbage til faktureringsoplysninger"
"Back to Select Addresses","Tilbage til vælg adresser"
"Back to Shipping Information","Tilbage til leveringsadresse"
"Back to Shopping Cart","Tilbage til indkøbskurv"
"Based on your selection, you may be interested in the following items:","Baseret på indholdet af din kurv vil du måske også være interesseret i følgende varer:"
"Billing Address","Faktureringsadresse"
"Billing Information","Faktureringsoplysninger"
"Billing Information - %s","Faktureringsinformation - %s"
"Cancel","Annuller"
"Cancel Coupon","Annuller rabatkode"
"Cannot process the item.","Kan ikke behandle elementet."
"Card Verification Number Visual Reference","Kort Verificering Tal Visuel Reference"
"Cart Subtotal:","Indkøbskurv subtotal:"
"Change","Skift"
"Change Billing Address","Skift faktureringsadresse"
"Checkout","Til kassen"
"Checkout Conditions","Checkout betingelser"
"Checkout Options","Checkout valg"
"Checkout Terms and Conditions","Checkout handelsbetingelser"
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Gå til bestilling som gæst eller opret dig som bruger"
"Checkout with Multiple Addresses","Bestil til flere adresser"
"City","By"
"Clear Shopping Cart","Ryd indkøbskurv"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" onclick=""this.target='_blank'"">her for at printe</a> en kopi af din ordrebekræftelse."
"Close","Luk"
"Company","Firma"
"Condition Name","Betingelsesnavn"
"Configurable Product Image","Konfigurerbar produkt billede"
"Confirm Password","Bekræft kodeord"
"Content","Indhold"
"Content Height","Indhold højde"
"Content Height (css)","Indhold højde (css)"
"Continue","Fortsæt"
"Continue Shopping","Fortsæt med at shoppe"
"Continue to Billing Information","Fortsæt til faktureringsoplysninger"
"Continue to Review Your Order","Fortsæt til ordreoversigten"
"Continue to Shipping Information","Fortsæt til leveringsoplysninger"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabatkoden ""%s"" er ikke gyldig."
"Create Billing Address","Opret faktureringsadresse"
"Create Shipping Address","Opret forsendelsesadresse"
"Customer Information","Kundeoplysninger"
"Data saving problem","Data lagrings problem"
"Default Billing","Betaling (standard)"
"Default Shipping","Standard forsendelse"
"Delete Condition","Slet tilstand"
"Details","Detaljer"
"Disabled","Slået fra"
"Discount Codes","Rabatkoder"
"Display Cart Summary","Se indkøbskurv"
"Display Shopping Cart Sidebar","Vis kurv i sidebar"
"Display item quantities","Få vist vare antal"
"Display number of items in cart","Vis antallet af varer i indkøbskurven"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Edit","Redigér"
"Edit Address","Rediger adresse"
"Edit Billing Address","Rediger faktureringsadresse"
"Edit Condition","Rediger betingelse"
"Edit Items","Rediger varer"
"Edit Shipping Address","Rediger leveringsadresse"
"Edit Terms and Conditions","Rediger Vilkår og betingelser"
"Edit Your Cart","Rediger indkøbskurv"
"Edit item","Rediger vare"
"Edit item parameters","Rediger vare indstillinger"
"Email Address","E-mail adresse"
"Enable Onepage Checkout","Aktiver one-page checkout"
"Enable Terms and Conditions","Aktiver handelsbetingelser"
"Enabled","Aktiveret"
"Enter a New Address","Angiv en ny adresse"
"Enter your coupon code if you have one.","Indtast din rabatkode her."
"Enter your destination to get a shipping estimate.","Indtast destination for at få et prisoverslag på levering"
"Estimate Shipping and Tax","Beregn fragt"
"Excl. Tax","Ekskl. moms"
"Fast and easy check out","Hurtig og nem betaling"
"Fax","Faxnummer"
"Forgot an Item?","Glemte du en vare?"
"Forgot your password?","Glemt din adgangskode?"
"Get a Quote","Få et prisoverslag"
"Gift Message","Gavebesked"
"Grand Total:","Ordretotal:"
"Grouped Product Image","Grupperet produktbillede"
"Incl. Tax","Inkl. moms"
"Invalid email address ""%s""","Ugyldig e-mail-adresse ""%s"""
"Invalid shipping method.","Ugyldig fragtmetode."
"Items","Varer"
"Load customer quote error","Indlæs kundetilbudsfejl"
"Loading next step...","Henter data..."
"Login","Log ind"
"Terms and Conditions","Vilkår og betingelser"
"Maximum qty allowed for Shipping to multiple addresses is %s","Det maksimale antal tilladt for at kunne fragte til flere adresser er %s"
"Move","Flyt"
"Move to Wishlist","Flyt til ønskeseddel"
"My Cart","Min indkøbskurv"
"My Cart (%s item)","Min indkøbskurv (%s vare)"
"My Cart (%s items)","Min indkøbskurv (%s varer)"
"My Cart Link","Min Indkøbskurv link"
"New Address","Ny adresse"
"New Condition","Ny betingelse"
"New Terms and Conditions","Nye betingelser og vilkår"
"No Payment Methods","Ingen betalingsmetoder"
"One Page Checkout","Énsidesbestilling"
"Order #","Ordre #"
"Order Review","Ordreoversigt"
"Order Success","Succesfuld afgivelse af ordre"
"Password","Kodeord"
"Payment Failed Email Reciever","E-mail-modtager for mislykket betaling"
"Payment Failed Email Sender","Betaling mislykkedes e-mail afsender"
"Payment Failed Emails","Betaling mislykkedes e-mails"
"Payment Failed Template","Betaling mislykkedes skabelon"
"Payment Information","Betalingsoplysninger"
"Payment Method","Betalingsmetode"
"Payment method is not defined","Betalingsform ikke valgt"
"Place Order","Afgiv ordre"
"Please agree to all Terms and Conditions before placing the order.","Venligst acceptér alle vilkår og betingelser inden du afgiver ordrer."
"Please agree to all Terms and Conditions before placing the orders.","Accepter venligst alle vilkår før du gennemfører bestillingerne."
"Please agree to all the terms and conditions before placing the order.","Venligst acceptere alle vilkår og betingelser før ordreafgivelsen."
"Please choose to register or to checkout as a guest","Vælg venligst registrering eller bestilling som gæst"
"Please log in below:","Log venligst ind nedenfor:"
"Please select region, state or province","Vælg region, stat eller provins"
"Please select shipping address for applicable items","Vælg venligst leveringsadresse for relevante produkter"
"Please select shipping methods for all addresses","Vælg venligst leveringsform for hver adresse"
"Please specify payment method.","Vælg venligst en betalingsmetode."
"Please specify shipping method.","Vælg venligst en leveringsmetode."
"Price","Pris"
"Proceed to Checkout","Gå til kassen"
"Product","Produkt"
"Product Name","Produktnavn"
"Products","Produkter"
"Qty","Antal"
"Qty:","Antal:"
"Quantity","Antal"
"Quote Lifetime (days)","Tilbudets levetid (dage)"
"Recently added item(s)","Seneste tilføjede vare(r)"
"Register","Opret konto"
"Register and save time!","Opret konto og spar tid!"
"Register to Create an Account","Opret dig som bruger, hvis du ønsker en konto"
"Register with us for future convenience:","Opret konto hos os for at gøre det nemmere fremover:"
"Remove Item","Fjern vare"
"Remove This Item","Fjern dette produkt"
"Remove item","Fjern vare"
"Review Order","Gennemse ordre"
"Review Order - %s","Gennemse ordre - %s"
"SKU","Varenummer"
"Sales","Salg"
"Save Condition","Gem tilstand"
"Save in address book","Gem i adressekartoteket"
"See price before order confirmation.","Se prisen før ordrebekræftelse."
"Select Address","Vælg adresse"
"Select Addresses","Vælg adresser"
"Select Shipping Method","Vælg leveringsmetode"
"Select State/Province...","Vælg område..."
"Select a billing address from your address book or enter a new address.","Vælg en betalingsadresse fra dine adresser eller indtast en <a href=""#"" onclick=""billing.newAddress(true); return false;"">ny adresse</a>."
"Select a shipping address from your address book or enter a new address.","Vælg en leveringsadresse fra din adressebog eller angiv en ny adresse."
"Send Payment Failed Email Copy Method","Send betaling mislykkedes e-mail kopieringsmetode"
"Send Payment Failed Email Copy To","Send betaling mislykkedes e-mail kopi til"
"Send To","Send til"
"Separate by "","".","Adskilt af "",""."
"Ship to Multiple Addresses","Send til flere adresser"
"Ship to different address","Levering til anden adresse"
"Ship to this address","Levering til denne adresse"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformation"
"Shipping Method","Leveringsmetode"
"Shipping Methods","Leveringsmetoder"
"Shipping To","Levering til"
"Shipping method has not been selected yet","Vælg venligst din ønskede leveringsform"
"Shopping Cart","Indkøbskurv"
"Shopping Cart Sidebar","Indkøbskurv sidebar"
"Shopping Cart is Empty","Indkøbskurven er tom"
"Show Content as","Vis indhold som"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gæstebestilling er ikke aktiveret. Prøv igen eller kontakt butiksejeren."
"Sorry, no quotes are available for this order at this time.","Vi undskylder! Prisoverslag kan ikke gives for denne ordre."
"State/Province","Stat eller Region"
"Store View","Butiksvisning"
"Street Address","Gade/vejnavn"
